,mean,median,std,skew,kurtosis,min,max,pct_zeros,n_unique,dom_frac,cv,missing_rate,n_deviant,dev_fail_rate,enrichment,verdict,f_skewed,f_heavy_tail,f_outlier_dom,f_zero_infl,f_missing,f_concentrated,transform_candidate,f_skew_outlier_driven,mean_pass,mean_fail,std_pass,std_fail,var_ratio,hedges_g,mw_p,mw_q,abs_g,tail_enrichment,f_var_shift,var_ratio_clip,iqr_ratio,log2_vr,log2_vr_clip,f_var_shift_strict,f_vr_inflated,mi,mi_norm,mi_rank,g_rank,f_nonlinear
20,1.405,1.406,0.017,-2.805,30.608,1.1797,1.4534,0.0,552,0.007657945118059987,0.011911947594154515,0.0,1555,0.06688102893890675,1.0077170418006431,keep,True,True,True,False,False,False,log,True,1.4049505126452493,1.4065134615384616,0.01687796256845148,0.01460312546471858,0.7486030535816174,0.0933339047635124,0.39072697358325637,0.7531742546604311,0.0933339047635124,0.0,False,1.016383304679798,1.0945205479452036,-0.41772716182705716,0.023444582694496573,False,False,0.0,0.0,214.0,140.0,False
21,-5618.394,-5523.25,626.822,2.375,15.25,-7150.25,0.0,0.06,1295,0.0025559105431309905,0.11156608486837223,0.0012763241863433313,1561,0.06598334401024984,0.9941913467698222,keep,True,True,True,False,False,False,yeo-johnson,False,-5636.437585499316,-5362.27427184466,593.7987686616148,950.3784543606537,2.5616192529407367,0.4396312227468925,0.0004461412473224361,0.010423481869260552,0.4396312227468925,3.7668269230769234,True,2.0708467200468332,0.6091235263967196,1.357056056196719,1.0502207720943344,False,False,0.008830230274459616,0.036313429183963866,49.0,6.0,False
22,2699.378,2664.0,295.499,-2.182,15.659,0.0,3656.25,0.06,1176,0.0025559105431309905,0.10946910249901307,0.0012763241863433313,1561,0.06598334401024984,0.9941913467698222,keep,True,True,True,False,False,False,log,False,2705.15817373461,2617.339805825243,279.78002244285994,458.7168723070666,2.688165651554916,-0.29775961297982007,0.15747827432696127,0.4699606664451335,0.29775961297982007,2.8251201923076925,True,1.9400761613603932,0.7111517367458866,1.4266220433671277,0.9561132892475532,False,False,0.0001179195510381259,0.0004849322308630108,168.0,24.0,False
23,-3806.3,-3820.75,1380.162,0.357,3.367,-9986.75,2363.0,0.06,1480,0.0025559105431309905,0.36259943892463087,0.0012763241863433313,1561,0.06598334401024984,0.9941913467698222,keep,False,True,False,False,False,False,,False,-3811.035567647059,-3739.0784786407767,1375.6439629865126,1448.0966072824283,1.1081102672452303,0.052099364661447684,0.5657450702270543,0.8654552562401961,0.052099364661447684,,False,1.1492996678808691,1.1747476006481365,0.14810145006267564,0.20075501469252202,False,False,0.0,0.0,214.0,187.0,False
24,-298.598,-78.75,2902.69,-0.054,3.703,-14804.5,14106.0,0.06,1494,0.0019169329073482429,9.721059070330968,0.0012763241863433313,1562,0.06594110115236876,0.9935548606323255,keep,False,True,False,False,False,False,,False,-284.4415182626539,-499.539640776699,2936.2467984623822,2378.672402049221,0.6562724227117195,-0.07405629051399547,0.6883590349666946,0.8994344352073926,0.07405629051399547,,True,0.6767136532154704,0.8184465405616475,-0.6076332841433549,-0.5633825985704946,False,False,0.0,0.0,214.0,164.0,False
26,1.938,1.986,0.189,-6.016,40.041,0.0,2.0528,0.06,624,0.007028753993610224,0.09775461205590225,0.0012763241863433313,1554,0.06563706563706563,0.9889738639738639,keep,True,True,True,False,False,False,log,False,1.9425754445964432,1.8803,0.17317726053092905,0.34259114974317845,3.9135469507724725,-0.329472588704893,0.9388639129561653,0.9848114327541339,0.329472588704893,4.708533653846154,True,3.4879104597928166,0.4789527720739175,1.9684767529742084,1.8023630043146766,True,False,0.004968194452041219,0.020431197352596978,79.0,17.0,False
27,6.639,7.265,1.244,-2.106,5.003,0.0,7.6588,0.06,1148,0.003194888178913738,0.18742566602504673,0.0012763241863433313,1560,0.06474358974358975,0.9755115877712033,keep,True,True,False,False,False,False,log,False,6.648314158686731,6.50114077669903,1.2067264064222765,1.6912133173528254,1.964170331777733,-0.11823920507399617,0.7006892792003143,0.9000393973172458,0.11823920507399617,,True,1.8514943417846974,0.10254305818739194,0.9739200448031418,0.88869014060237,False,False,0.0035655895564075113,0.01466312653591687,105.0,115.0,False
28,69.5,69.156,3.461,-0.064,-0.277,59.4,77.9,0.0,869,0.005111821086261981,0.04980149969457371,0.0012763241863433313,1557,0.06615285806037251,0.9967454671211896,keep,False,False,False,False,False,False,,False,69.59803235294117,68.10140582524272,3.4533609146458115,3.2800510288003695,0.9021469013946094,-0.43456435262235277,6.955945523698205e-05,0.002553825713700627,0.43456435262235277,,False,0.9068457602840924,0.8086147322930172,-0.14856572054484257,-0.141070902232535,False,False,0.00347203870926327,0.014278408135911141,106.0,7.0,False
29,2.366,2.378,0.409,-0.302,0.4,0.6667,3.5111,0.0,188,0.01853035143769968,0.17272193557020302,0.0012763241863433313,1536,0.06575520833333333,0.9907539563301282,keep,False,False,False,False,False,False,,False,2.3643329685362517,2.3926621359223303,0.41026366144643334,0.38665372995173497,0.888215412538135,0.06927111340814132,0.6669673201777517,0.8968909972363392,0.06927111340814132,,False,0.9305775364461415,1.0344919311934748,-0.17101848935646982,-0.1038017331187705,False,False,0.004771467911578009,0.019622179345854886,83.0,167.0,False
30,0.184,0.187,0.033,-0.344,0.629,0.0341,0.2851,0.0,842,0.0044728434504792336,0.17888866926517147,0.0012763241863433313,1558,0.06482670089858793,0.9767638491162239,keep,False,False,False,False,False,False,,False,0.18383214774281806,0.18879708737864076,0.032989524285203894,0.032088045102378705,0.9460942714190446,0.15069355476723945,0.17698264479269943,0.48387808203961435,0.15069355476723945,,False,0.9377957631559252,1.074444444444445,-0.07994415008318057,-0.09265433372982677,False,False,0.00445893232505723,0.01833690834659032,88.0,89.0,False
31,3.673,3.431,0.535,1.158,-0.142,2.0698,4.8044,0.0,1275,0.003194888178913738,0.14573760743552516,0.0012763241863433313,1560,0.06538461538461539,0.9851701183431953,keep,True,False,False,False,False,False,log,False,3.6801824213406293,3.5739291262135926,0.5405456424955843,0.44522893221860943,0.6784252682815296,-0.19856698292087058,0.8837820482368821,0.9503430393174842,0.19856698292087058,,False,0.6369209678992579,0.7505300353356903,-0.5597381901018683,-0.6508137275761717,False,False,0.0,0.0,214.0,59.0,False
32,85.337,85.135,2.027,6.326,51.352,83.1829,105.6038,0.0,338,0.004469987228607918,0.023747472668345544,0.0006381620931716656,1559,0.06606799230275817,0.9954667686386737,keep,True,True,True,False,False,False,log,False,85.30929938440491,85.73346442307692,1.9390094906697126,2.983492378831767,2.3675000455958615,0.2094216409962347,0.11445461280966109,0.3955092800775015,0.2094216409962347,0.0,True,1.4393348041172023,0.8301614307193066,1.2433644534786328,0.5254022168575412,False,False,0.00373320506944097,0.015352428385754163,102.0,50.0,False
33,8.96,8.77,1.344,9.124,92.119,7.6032,23.3453,0.0,330,0.008939974457215836,0.15004626923156372,0.0006381620931716656,1552,0.06701030927835051,1.0096649484536082,keep,True,True,True,False,False,False,log,False,8.931261764705882,9.3681875,1.2265800859225726,2.438023762824034,3.950790944333,0.3257926459586988,0.00016136083495336387,0.004928369989166749,0.3257926459586988,2.7395104895104896,True,1.8096624630053606,1.1499195710455778,1.9821415082863327,0.8557206319165159,False,False,0.015881169399953654,0.06530970342096126,13.0,18.0,False
35,64.556,64.166,2.575,8.147,76.467,63.6774,94.2641,0.0,331,0.008301404853128991,0.039884086506454704,0.0006381620931716656,1553,0.06503541532517708,0.9799086136014662,keep,True,True,True,False,False,False,log,False,64.56421757865937,64.43727307692308,2.6214649388483875,1.7986800222315553,0.47078185404833783,-0.04926797074946161,0.028939053453472828,0.18664531548563812,0.04926797074946161,0.0,True,0.8263980085131718,0.6904907506497058,-1.086869381093409,-0.27509131734415865,False,False,0.008720149139756606,0.035860731647741034,50.0,193.0,False
36,49.417,49.604,1.183,-6.415,41.598,40.2289,50.1652,0.0,330,0.008301404853128991,0.023931238632199224,0.0006381620931716656,1553,0.0669671603348358,1.009014810045074,keep,True,True,True,False,False,False,log,False,49.418170177838576,49.40612884615385,1.1785509678495592,1.2442956693455351,1.1146805969525262,-0.01017381800799903,0.36274318752846535,0.7340551117702016,0.01017381800799903,1.1590236686390534,False,1.3638611728496013,0.7909370199692611,0.15663037632869425,0.447696800201842,False,False,0.008132384692374872,0.03344360978642531,58.0,246.0,False
39,118.68,118.399,1.807,4.656,32.337,111.7128,133.3898,0.0,333,0.008301404853128991,0.015227735454366873,0.0006381620931716656,1553,0.06503541532517708,0.9799086136014662,keep,True,True,True,False,False,False,log,False,118.68057920656635,118.66514807692307,1.8218965700790009,1.5943867119305564,0.7658432622701139,-0.00853179340305329,0.6036965372934938,0.8702611170287683,0.00853179340305329,0.0,False,1.173318727087322,0.7187902187902115,-0.3848789349609293,0.23059496863302376,False,False,0.015065644660357425,0.06195594038663196,15.0,248.0,True
40,67.905,78.29,24.063,-1.868,1.691,1.434,86.12,0.0,291,0.013609850939727802,0.3543623468192549,0.015315890236119975,1522,0.0683311432325887,1.0295663600525624,keep,True,False,False,False,False,False,log,False,68.23984155663655,63.27060576923077,23.84658248587885,26.572767426215382,1.241713140001927,-0.20661973481553664,0.0019027763649620514,0.03492953755680337,0.20661973481553664,,False,1.2394289793778919,2.9030456852791895,0.31233192130649445,0.3096756058055742,False,False,0.013659026975930466,0.05617136738177048,20.0,53.0,False
41,3.353,3.074,2.36,12.213,175.933,-0.0759,37.88,0.0,315,0.009073233959818535,0.7039601578600184,0.015315890236119975,1529,0.06801831262262917,1.02485284499673,keep,True,True,True,False,False,False,yeo-johnson,False,3.351491869353718,3.374849038461538,2.425804643551322,1.120905662434059,0.21351406061152553,0.00988732968212863,0.3989947674465105,0.7539827590717147,0.00988732968212863,0.0,True,1.36657311257486,1.8789607097591885,-2.227597015643086,0.4505626470748222,False,True,0.024289448371439537,0.09988790053471101,2.0,247.0,True
43,355.539,353.721,6.235,0.554,-0.532,342.7545,377.2973,0.0,1523,0.001277139208173691,0.017535932444680026,0.0006381620931716656,1564,0.06649616368286446,1.001918158567775,keep,False,False,False,False,False,False,,False,355.57293194254447,355.0605432692307,6.270188077180444,5.719078713483683,0.8319380962917509,-0.0821348364292913,0.601666153918784,0.8702611170287683,0.0821348364292913,,False,0.859253906244896,0.892971055237371,-0.26545191206845714,-0.21884358965454975,False,False,0.0,0.0,214.0,153.0,False
44,10.031,10.035,0.175,-0.192,0.949,9.464,11.053,0.0,1376,0.0031928480204342275,0.017449378520621252,0.0006381620931716656,1561,0.06662395900064061,1.0038436899423446,keep,False,False,False,False,False,False,,False,10.032246785225718,10.015957692307692,0.17625611428638077,0.15688761526567052,0.7922986944764733,-0.09301117331932539,0.1498341893333514,0.4696022763252599,0.09301117331932539,,False,0.8213579304365987,1.000554078014187,-0.3358836698843096,-0.28391703983337435,False,False,0.0,0.0,214.0,141.0,False
45,136.743,136.4,7.849,0.375,0.571,108.8464,176.3136,0.0,1520,0.001277139208173691,0.057401432056199526,0.0006381620931716656,1564,0.06585677749360613,0.9922843301200078,keep,False,False,False,False,False,False,,False,136.72559008207935,136.98864326923075,7.809768775351371,8.420951084360778,1.1626418123486628,0.033487562506599136,0.8571630946818938,0.9372313821731334,0.033487562506599136,,False,1.2184370505327706,0.9672092931194499,0.21740669858124573,0.28503171742962063,False,False,0.0018924480094411056,0.007782501094443826,134.0,212.0,False
46,733.673,733.45,12.17,0.338,0.024,699.8139,789.7523,0.0,1562,0.001277139208173691,0.016588204598826966,0.0006381620931716656,1564,0.06649616368286446,1.001918158567775,keep,False,False,False,False,False,False,,False,733.7033568399454,733.243414423077,12.214129534688992,11.58449318663312,0.8995577176823438,-0.03776363185697268,0.7602030483482125,0.9303437305975745,0.03776363185697268,,False,0.9243951867911594,0.9965242435118294,-0.15271224382453855,-0.11341834699289949,False,False,0.0,0.0,214.0,204.0,False
47,1.178,1.251,0.19,-0.374,-1.287,0.4967,1.5111,0.0,1341,0.002554278416347382,0.1609878183842376,0.0006381620931716656,1562,0.06594110115236876,0.9935548606323255,keep,False,False,False,False,False,False,,False,1.1765340629274965,1.197976923076923,0.19034109899217352,0.17911568222136523,0.8855275517102316,0.11302773492085849,0.2802278955626004,0.6317418347332308,0.11302773492085849,,False,0.8938692581579873,0.8867129922088863,-0.175390900166124,-0.1618642639270223,False,False,0.0005832207887477292,0.002398436524590214,155.0,120.0,False
48,139.972,140.008,4.524,-0.02,0.158,125.7982,163.2509,0.0,1486,0.0019157088122605363,0.03232248910646329,0.0006381620931716656,1563,0.06653870761356366,1.0025591810620602,keep,False,False,False,False,False,False,,False,139.99064753761968,139.71333557692307,4.510793464363278,4.724378329369193,1.0969414626812186,-0.06125272271199869,0.3235833197842213,0.6831701800281346,0.06125272271199869,,False,1.1286426123826938,0.9427432844241549,0.13348653964009138,0.17458872528912414,False,False,0.0034257240826074398,0.0140879439166356,107.0,172.0,False
50,632.254,631.371,8.644,0.389,-0.128,607.3927,667.7418,0.0,1520,0.001277139208173691,0.013671693155484891,0.0006381620931716656,1564,0.06649616368286446,1.001918158567775,keep,False,False,False,False,False,False,,False,632.289171887825,631.762526923077,8.708733665046621,7.697101590912097,0.7811679551397875,-0.060884505778309145,0.6631244606249924,0.8968909972363392,0.060884505778309145,,False,0.8114781267369968,0.871073522606866,-0.3562953262939154,-0.301375887203898,False,False,0.002765290971406653,0.01137197952285286,117.0,174.0,False
51,157.421,183.318,60.925,-0.51,-1.1,40.2614,258.5432,0.0,1562,0.001277139208173691,0.3870202299304045,0.0006381620931716656,1564,0.06649616368286446,1.001918158567775,keep,False,False,False,False,False,False,,False,157.32344671682625,158.79224326923077,60.65929684085189,64.84052528166686,1.1426107496184672,0.024089402258320125,0.6486134680087499,0.8968909972363392,0.024089402258320125,,False,1.1440455418711877,1.052224084918511,0.19233400789315702,0.19414448369318454,False,False,0.008715514162562776,0.03584167077267142,51.0,227.0,False
53,4.593,4.596,0.055,-7.209,87.253,3.706,4.764,0.0,153,0.03134996801023673,0.011963850344388361,0.0025526483726866626,1514,0.06605019815059446,0.9951986586728993,keep,True,True,True,False,False,False,log,True,4.5928726027397255,4.594368932038835,0.05615577511615546,0.03361663637256324,0.3583601094577633,0.02720975270733625,0.842333338522772,0.9343293261001374,0.02720975270733625,0.0,True,0.9743249276599306,0.860465116279065,-1.4805180408914047,-0.03752511790867537,False,False,0.0014315223169898417,0.0058869907881825565,143.0,221.0,False
54,4.839,4.843,0.06,-5.375,60.262,3.932,5.011,0.0,169,0.021753039027511197,0.01231381482041008,0.0025526483726866626,1529,0.06409417920209287,0.9657267193238417,keep,True,True,True,False,False,False,log,True,4.838299315068493,4.841689320388349,0.060625651635821926,0.04215518229864076,0.4834917902997583,0.056857855304486685,0.8022758648517786,0.9343293261001374,0.056857855304486685,0.0,True,1.0086481648459982,1.0943396226415076,-1.048436701967835,0.012423023453054124,False,False,0.0,0.0,214.0,179.0,False
58,4.593,4.573,0.085,-0.103,1.166,4.2199,4.8475,0.0,382,0.010236724248240563,0.018525800146090586,0.0025526483726866626,1547,0.06528765352294764,0.9837091641390285,keep,False,False,False,False,False,False,,False,4.592049383561644,4.611205825242719,0.08553171920018171,0.0768085228436281,0.8064258171689778,0.22529058165581817,0.02904985455029387,0.18664531548563812,0.22529058165581817,,False,0.8915042892120139,0.9256017505470505,-0.31038626841877864,-0.16568635591536948,False,False,0.008576305458346312,0.03526918905189712,54.0,38.0,False
59,2.96,0.947,9.532,4.719,62.32,-28.9882,168.1455,0.0,1500,0.0019230769230769232,3.220081765726834,0.004467134652201659,1557,0.06679511881824021,1.006422607578677,keep,True,True,True,False,False,False,yeo-johnson,False,2.563464217032967,8.515123076923079,9.313120881760621,10.802343778045296,1.3453816768971527,0.6315841304408201,5.6786377604731255e-11,1.4594099044415933e-08,0.6315841304408201,0.9417067307692308,False,1.6329820076935708,2.4566737247517247,0.42801551497685025,0.7075088952754442,False,False,0.014000057672925337,0.057573821641734725,19.0,1.0,False
60,355.159,353.799,6.028,0.314,0.291,324.7145,373.8664,0.0,1498,0.0019218449711723255,0.016972362117625366,0.0038289725590299937,1558,0.06675224646983312,1.0057766367137355,keep,False,False,False,False,False,False,,False,355.18862855181885,354.7453269230769,6.055208617426642,5.642394922822518,0.8682978776805996,-0.07349519288906396,0.4231144774825383,0.7712086575390946,0.07349519288906396,,False,0.9308531886923483,1.0715155457699492,-0.20373803732145082,-0.10337444659540024,False,False,0.0,0.0,214.0,165.0,False
61,10.423,10.437,0.275,-0.246,1.589,9.4611,11.7849,0.0,1418,0.0019218449711723255,0.026371784830461504,0.0038289725590299937,1558,0.06675224646983312,1.0057766367137355,keep,False,False,False,False,False,False,,False,10.422229512697323,10.435939423076924,0.26942833739426864,0.34356400554548794,1.626030818526328,0.049840427718079915,0.8271962377487238,0.9343293261001374,0.049840427718079915,,True,1.5076038639856597,1.4936552406064603,0.7013546013943377,0.5922573977441229,False,False,0.0026140555065015114,0.010750038964765568,121.0,191.0,False
62,116.502,116.212,8.629,5.297,101.751,81.49,287.1509,0.0,1518,0.0012812299807815502,0.07406737372027716,0.0038289725590299937,1559,0.06670942912123155,1.005131494547787,keep,True,True,True,False,False,False,log,True,116.54615223061084,115.8883798076923,8.502703227748151,10.264794864457553,1.4574259811119659,-0.07618059894749254,0.4507997236710062,0.7935310204345793,0.07618059894749254,1.8834134615384617,False,1.5783288748613626,1.2335465505313408,0.5434226145445625,0.6583978496454796,False,False,0.006141609249001867,0.025256747061769592,72.0,162.0,False
63,13.99,13.246,7.12,10.682,237.588,1.6591,188.0923,0.0,1534,0.0019230769230769232,0.5089278246223595,0.004467134652201659,1557,0.06615285806037251,0.9967454671211896,keep,True,True,True,False,False,False,log,False,13.875941071428569,15.585729807692307,7.0675021332520025,7.676164015293407,1.179659297149478,0.2403828164327922,0.0886008506271989,0.34500634259378965,0.2403828164327922,2.8251201923076925,False,1.8719581202724946,1.256927272650156,0.2383702483272839,0.9045481590927706,False,False,0.0028039685497820432,0.011531037153252866,115.0,34.0,False
64,20.542,20.021,4.977,1.128,3.038,6.4482,48.9882,0.0,1496,0.0019230769230769232,0.24230557067607914,0.004467134652201659,1557,0.06679511881824021,1.006422607578677,keep,True,True,False,False,False,False,log,False,20.440290521978024,21.967568269230767,4.729374695078945,7.538979894647286,2.541076405045127,0.30749479708294963,0.17116935142388323,0.4782621234577203,0.30749479708294963,,True,2.457283961279435,1.8429244005681955,1.345439754975094,1.2970645837311046,False,False,0.010767792347905258,0.044281457305168026,31.0,22.0,False
65,27.132,26.261,7.122,3.326,29.097,4.308,118.0836,0.0,1550,0.001282051282051282,0.26248531263104036,0.004467134652201659,1558,0.06675224646983312,1.0057766367137355,keep,True,True,True,False,False,False,log,False,27.027495535714284,28.592296153846153,6.9511833111391255,9.099575436697055,1.7136604606141879,0.21987728836174872,0.1695889908374082,0.4782621234577203,0.21987728836174872,3.7668269230769234,True,2.281699462766471,1.7441418476088484,0.7770812866302539,1.190108777546755,False,False,0.017162438375292854,0.07057879253363872,10.0,44.0,False
