feature,degenerate,ooc_p1,ewma_p1,miss_p1,ooc_p2,ewma_p2,miss_p2,ooc_tail,ewma_tail,miss_tail,delta,ewma_delta
s159,False,0.00819672,0,0.906799,0,0,0.937984,0,0,0.962963,-0.00819672,0
s160,False,0.100995,0.239114,0.00152788,0.0542636,0.182171,0,0.037037,0.0740741,0,-0.0467311,-0.0569433
s161,False,0.0535578,0.208556,0.00152788,0.00387597,0.0387597,0,0,0,0,-0.0496818,-0.169796
s162,False,0.0971691,0.223071,0.00152788,0.0891473,0.158915,0,0.111111,0.0740741,0,-0.0080218,-0.0641563
s163,False,0.195868,0.526356,0.00152788,0.248062,0.689922,0,0.0740741,0.333333,0,0.0521936,0.163566
s164,False,0.0313695,0.132926,0.00152788,0.0271318,0.0658915,0,0,0,0,-0.00423777,-0.0670344
s165,False,0.0367253,0.16272,0.00152788,0.0503876,0.147287,0,0.0740741,0.037037,0,0.0136623,-0.0154328
s166,False,0.0336649,0.13369,0.00152788,0.0271318,0.352713,0,0,0.407407,0,-0.0065331,0.219023
s167,False,0.0298393,0.0641711,0.00152788,0.0581395,0.294574,0,0.037037,0.518519,0,0.0283002,0.230403
s168,False,0.0130069,0.0443086,0.00152788,0.0155039,0.0736434,0,0.037037,0,0,0.00249699,0.0293348
s169,False,0.00994644,0.0213904,0.00152788,0.0116279,0.0193798,0,0.037037,0,0,0.00168146,-0.00201053
s170,False,0.00153022,0.0412529,0.00152788,0,0.0542636,0,0,0,0,-0.00153022,0.0130107
s171,False,0,0.0168067,0.000763942,0,0.197674,0,0,0,0,0,0.180868
s172,False,0.0321101,0.0557678,0.000763942,0.0813953,0.290698,0,0.0740741,0.185185,0,0.0492853,0.23493
s173,False,0.000764526,0.00458365,0.000763942,0,0.0387597,0,0,0,0,-0.000764526,0.034176
s174,False,0.0191131,0.0427807,0.000763942,0,0.0116279,0,0,0.0740741,0,-0.0191131,-0.0311528
s175,False,0.000764526,0.00458365,0.000763942,0,0.0387597,0,0,0,0,-0.000764526,0.034176
s176,False,0.00458716,0.0542399,0.000763942,0,0.0116279,0,0,0,0,-0.00458716,-0.042612
s177,False,0,0.0160428,0.000763942,0,0.0232558,0,0,0,0,0,0.00721303
s178,False,0.170489,0.36822,0.000763942,0.0271318,0.0542636,0,0.185185,0.296296,0,-0.143358,-0.313956
s179,True,,,,,,,,,,,
s180,True,,,,,,,,,,,
s181,False,0.0122324,0.0870894,0.000763942,0.0232558,0.410853,0,0.037037,0.333333,0,0.0110234,0.323763
s182,False,0.00688073,0.0206264,0.000763942,0,0.0697674,0,0,0,0,-0.00688073,0.049141
s183,False,0.0183486,0.0710466,0.000763942,0,0.224806,0,0,0.0740741,0,-0.0183486,0.15376
s184,False,0.0030581,0.0412529,0.000763942,0,0.127907,0,0,0.111111,0,-0.0030581,0.0866541
s185,False,0.0275229,0.092437,0.000763942,0.00775194,0.0736434,0,0,0,0,-0.019771,-0.0187936
s186,False,0.0298165,0.0954927,0.000763942,0.00387597,0.0581395,0,0,0,0,-0.0259405,-0.0373532
s187,True,,,,,,,,,,,
s188,False,0.00229358,0.0932009,0.000763942,0,0,0,0,0,0,-0.00229358,-0.0932009
s189,False,0.00152905,0.00611154,0.000763942,0,0.00387597,0,0,0,0,-0.00152905,-0.00223557
s190,True,,,,,,,,,,,
s191,True,,,,,,,,,,,
s192,True,,,,,,,,,,,
s193,True,,,,,,,,,,,
s194,True,,,,,,,,,,,
s195,True,,,,,,,,,,,
s196,False,0.138697,0.23835,0.00305577,0.406977,0.569767,0,0.185185,0.148148,0,0.268279,0.331418
s197,False,0.0537634,0.169595,0.00534759,0.100775,0.604651,0,0.222222,0.740741,0,0.0470118,0.435056
s198,False,0.0153492,0.0832697,0.00458365,0.100775,0.294574,0,0,0,0,0.085426,0.211304
s199,False,0.0813507,0.237586,0.00458365,0.116279,0.589147,0,0.0740741,0.481481,0,0.0349283,0.351561
s200,False,0.0997698,0.303285,0.00458365,0.197674,0.457364,0,0.296296,0.703704,0,0.0979047,0.154079
s201,False,0.00844854,0.0450726,0.00534759,0.00775194,0.120155,0,0,0.148148,0,-0.000696603,0.0750825
s202,False,0.0499232,0.129106,0.00534759,0.104651,0.569767,0,0.222222,0.777778,0,0.054728,0.440661
s203,False,0.0391705,0.146677,0.00534759,0.0658915,0.670543,0,0.111111,0.740741,0,0.026721,0.523866
s204,False,0.0138143,0.164248,0.00458365,0.0155039,0.368217,0,0,0.37037,0,0.0016896,0.20397
s205,False,0.0713738,0.28877,0.00458365,0.0116279,0.197674,0,0,0,0,-0.0597458,-0.0910956
s206,False,0.0391404,0.145913,0.00458365,0.0193798,0.108527,0,0,0,0,-0.0197606,-0.0373858
s207,True,,,,,,,,,,,
s208,False,0.0107444,0.111536,0.00458365,0.0155039,0.0891473,0,0,0,0,0.00475944,-0.0223882
s209,False,0.00537222,0.0290298,0.00458365,0.0155039,0.0116279,0,0.037037,0,0,0.0101317,-0.0174019
s210,True,,,,,,,,,,,
s211,False,0.0664629,0.170359,0,0.017094,0.0465116,0.0930233,0,0,0.888889,-0.0493689,-0.123847
s212,False,0.0435447,0.130634,0,0.0128205,0.0271318,0.0930233,0,0,0.888889,-0.0307242,-0.103502
s213,False,0.0840336,0.208556,0,0.0128205,0.0155039,0.0930233,0,0,0.888889,-0.0712131,-0.193052
s214,False,0.0206264,0.0855615,0,0.0042735,0,0.0930233,0,0,0.888889,-0.0163529,-0.0855615
s215,False,0.0412529,0.13751,0,0.025641,0.286822,0.0930233,0,1,0.888889,-0.0156118,0.149312
s216,False,0.00687548,0.128342,0,0.00854701,0.0775194,0.0930233,0,0,0.888889,0.00167153,-0.0508229
s217,False,0.0252101,0.0381971,0,0.0512821,0.100775,0.0930233,0,0,0.888889,0.026072,0.0625781
s218,False,0.0374332,0.140565,0,0.0897436,0.228682,0.0930233,0,0.037037,0.888889,0.0523104,0.0881169
s219,False,0.00993125,0.0106952,0,0.0077821,0,0.00387597,0,0,0.037037,-0.00214914,-0.0106952
s220,False,0.0292984,0.0702827,0.0091673,0.0930233,0.25969,0,0.148148,0.333333,0,0.0637249,0.189407
s221,False,0.00653595,0.0221543,0.883117,0,0,0.717054,0,0,0.777778,-0.00653595,-0.0221543
s222,False,0.00381971,0,0,0.00387597,0,0,0,0,0,5.62593e-05,0
s223,False,0.156608,0.560733,0,0.0968992,0.321705,0,0.037037,0.444444,0,-0.0597089,-0.239028
s224,False,0.00993125,0.0114591,0,0.00387597,0,0,0,0,0,-0.00605528,-0.0114591
s225,False,0.128342,0.362872,0,0.193237,0.569767,0.197674,0.263158,0.703704,0.296296,0.0648945,0.206895
s226,False,0.0221543,0.025974,0,0.0144928,0.0271318,0.197674,0,0,0.296296,-0.00766156,0.00115776
s227,True,,,,,,,,,,,
s228,False,0.0726855,0.192513,0.00152788,0.0348837,0.0348837,0,0.037037,0,0,-0.0378018,-0.15763
s229,False,0.0589135,0.173415,0.00152788,0.0387597,0.0348837,0,0,0,0,-0.0201539,-0.138531
s230,True,,,,,,,,,,,
s231,True,,,,,,,,,,,
s232,True,,,,,,,,,,,
s233,True,,,,,,,,,,,
s234,True,,,,,,,,,,,
s235,True,,,,,,,,,,,
s236,True,,,,,,,,,,,
s237,True,,,,,,,,,,,
s238,True,,,,,,,,,,,
s239,False,0.0145371,0.0175707,0.00152788,0.00775194,0.0232558,0,0.037037,0.037037,0,-0.00678517,0.00568515
s240,False,0.0145371,0.118411,0.00152788,0.0193798,0.0155039,0,0.037037,0.037037,0,0.00484274,-0.102907
s241,True,,,,,,,,,,,
s242,True,,,,,,,,,,,
s243,True,,,,,,,,,,,
s244,True,,,,,,,,,,,
s245,False,0.0429448,0.0909091,0.750955,0.0179372,0.127907,0.135659,0.037037,0,0,-0.0250076,0.0369979
s246,False,0.0306748,0.0550038,0.750955,0.44843,0.934109,0.135659,0.481481,1,0,0.417756,0.879105
s247,False,0.00613497,0.00381971,0.750955,0.0224215,0.155039,0.135659,0,0,0,0.0162866,0.151219
s248,False,0.16866,0.407181,0.361345,0.0625,0.0232558,0.937984,,0,1,-0.10616,-0.383925
s249,False,0.0313216,0.092437,0,0.0155039,0.120155,0,0,0,0,-0.0158177,0.0277181
s250,True,,,,,,,,,,,
s251,False,0.013751,0.0091673,0,0.0271318,0.0968992,0,0.037037,0.296296,0,0.0133808,0.0877319
s252,False,0.126814,0.515661,0,0.112403,0.639535,0,0.0740741,0.481481,0,-0.0144113,0.123874
s253,False,0.00458365,0.0420168,0,0,0,0,0,0,0,-0.00458365,-0.0420168
s254,False,0.026738,0.0993125,0,0.034188,0.162791,0.0930233,0,0,0.888889,0.00745007,0.0634782
s255,False,0.00152788,0,0,0.00387597,0,0,0.037037,0,0,0.00234809,0
s256,False,0.000763942,0.0580596,0,0.00387597,0,0,0.037037,0,0,0.00311203,-0.0580596
s257,True,,,,,,,,,,,
s258,True,,,,,,,,,,,
s259,True,,,,,,,,,,,
s260,True,,,,,,,,,,,
s261,True,,,,,,,,,,,
s262,True,,,,,,,,,,,
s263,True,,,,,,,,,,,
s264,True,,,,,,,,,,,
s265,True,,,,,,,,,,,
s266,True,,,,,,,,,,,
s267,True,,,,,,,,,,,
s268,False,0,0.0611154,0.00381971,0,0.0852713,0.0116279,0,0,0.111111,0,0.024156
s269,False,0,0.229183,0.00381971,0,0.0310078,0.0116279,0,0,0.111111,0,-0.198175
s270,False,0.0130368,0.0412529,0.00381971,0.027451,0.0387597,0.0116279,0,0,0.111111,0.0144142,-0.00249317
s271,False,0.0245399,0.052712,0.00381971,0.0155039,0.0348837,0,0.037037,0.259259,0,-0.009036,-0.0178283
s272,False,0,0,0.00458365,0.00387597,0,0,0,0,0,0.00387597,0
s273,False,0.000768049,0.000763942,0.00534759,0,0,0,0,0,0,-0.000768049,-0.000763942
s274,False,0.0560676,0.147441,0.00534759,0.131474,0.151163,0.0271318,0.333333,0.185185,0,0.0754065,0.003722
s275,False,0.0529954,0.195569,0.00534759,0.119522,0.488372,0.0271318,0.148148,0.481481,0,0.0665265,0.292803
s276,False,0.0337942,0.176471,0.00534759,0.135458,0.647287,0.0271318,0.333333,0.777778,0,0.101664,0.470816
s277,True,,,,,,,,,,,
s278,False,0.0284178,0.0977846,0.00534759,0.0318725,0.139535,0.0271318,0,0,0,0.00345469,0.0417503
s279,False,0.00922367,0.0840336,0.00611154,0.0466926,0.155039,0.00387597,0,0.222222,0,0.0374689,0.0710051
s280,False,0.0466005,0.100076,0,0.199219,0.852713,0.00775194,0.12,0.555556,0.0740741,0.152618,0.752637
s281,False,0.0374332,0.122995,0,0.015625,0.375969,0.00775194,0,0,0.0740741,-0.0218082,0.252974
s282,False,0.0473644,0.145913,0,0.0546875,0.209302,0.00775194,0.04,0.111111,0.0740741,0.0073231,0.0633894
