feature,t,value,center,ucl
f_row_missing_rate,57,0.0338983,0.040678,0.100987
f_row_missing_rate,58,0.0338983,0.040678,0.100987
f_row_missing_rate,59,0.0610169,0.040678,0.100987
f_row_missing_rate,60,0.0338983,0.040678,0.100987
f_row_missing_rate,61,0.0338983,0.040678,0.100987
f_row_missing_rate,62,0.0338983,0.040678,0.100987
f_row_missing_rate,63,0.0338983,0.040678,0.100987
f_row_missing_rate,64,0.040678,0.040678,0.100987
f_row_missing_rate,65,0.0542373,0.040678,0.100987
f_row_missing_rate,66,0.0338983,0.040678,0.100987
f_row_missing_rate,67,0.040678,0.040678,0.100987
f_row_missing_rate,68,0.0338983,0.040678,0.100987
f_row_missing_rate,69,0.0338983,0.040678,0.100987
f_row_missing_rate,70,0.0338983,0.040678,0.100987
f_row_missing_rate,71,0.040678,0.040678,0.100987
f_row_missing_rate,72,0.0474576,0.040678,0.100987
f_row_missing_rate,73,0.0338983,0.040678,0.100987
f_row_missing_rate,74,0.0745763,0.040678,0.100987
f_row_missing_rate,75,0.0338983,0.040678,0.100987
f_row_missing_rate,76,0.0474576,0.040678,0.100987
f_row_missing_rate,77,0.0338983,0.040678,0.100987
f_row_missing_rate,78,0.0338983,0.040678,0.100987
f_row_missing_rate,79,0.0474576,0.040678,0.100987
f_row_missing_rate,80,0.0338983,0.040678,0.100987
f_row_missing_rate,81,0.0338983,0.040678,0.100987
f_row_missing_rate,82,0.0338983,0.040678,0.100987
f_row_missing_rate,83,0.0474576,0.040678,0.100987
f_row_missing_rate,84,0.0474576,0.040678,0.100987
f_row_missing_rate,85,0.0542373,0.040678,0.100987
f_row_missing_rate,86,0.0474576,0.040678,0.100987
f_row_missing_rate,87,0.040678,0.040678,0.100987
f_row_missing_rate,88,0.0542373,0.040678,0.100987
f_row_missing_rate,89,0.147458,0.040678,0.100987
f_row_missing_rate,90,0.0474576,0.040678,0.100987
f_row_missing_rate,91,0.040678,0.040678,0.100987
f_row_missing_rate,92,0.0474576,0.040678,0.100987
f_row_missing_rate,93,0.162712,0.040678,0.100987
f_row_missing_rate,94,0.115254,0.040678,0.100987
f_row_missing_rate,95,0.162712,0.040678,0.100987
f_row_missing_rate,96,0.0338983,0.040678,0.100987
f_row_missing_rate,97,0.0610169,0.040678,0.100987
f_row_missing_rate,98,0.0813559,0.040678,0.100987
f_row_missing_rate,99,0.0474576,0.040678,0.100987
f_row_missing_rate,100,0.0610169,0.040678,0.100987
f_row_missing_rate,101,0.0677966,0.040678,0.100987
f_row_missing_rate,102,0.0474576,0.040678,0.100987
f_row_missing_rate,103,0.0610169,0.040678,0.100987
f_row_missing_rate,104,0.0474576,0.040678,0.100987
f_row_missing_rate,105,0.0474576,0.040678,0.100987
f_row_missing_rate,106,0.040678,0.040678,0.100987
f_row_missing_rate,107,0.0474576,0.040678,0.100987
f_row_missing_rate,108,0.040678,0.040678,0.100987
f_row_missing_rate,109,0.0542373,0.040678,0.100987
f_row_missing_rate,110,0.0338983,0.040678,0.100987
f_row_missing_rate,111,0.0542373,0.040678,0.100987
f_row_missing_rate,112,0.0474576,0.040678,0.100987
f_row_missing_rate,113,0.0474576,0.040678,0.100987
f_row_missing_rate,114,0.0474576,0.040678,0.100987
f_row_missing_rate,115,0.0610169,0.040678,0.100987
f_row_missing_rate,116,0.0474576,0.040678,0.100987
f_row_missing_rate,117,0.0474576,0.040678,0.100987
f_row_missing_rate,118,0.0677966,0.040678,0.100987
f_row_missing_rate,119,0.0338983,0.040678,0.100987
f_row_missing_rate,120,0.040678,0.040678,0.100987
f_row_missing_rate,121,0.0338983,0.040678,0.100987
f_row_missing_rate,122,0.0338983,0.040678,0.100987
f_row_missing_rate,123,0.0474576,0.040678,0.100987
f_row_missing_rate,124,0.0474576,0.040678,0.100987
f_row_missing_rate,125,0.0338983,0.040678,0.100987
f_row_missing_rate,126,0.040678,0.040678,0.100987
f_row_missing_rate,127,0.0474576,0.040678,0.100987
f_row_missing_rate,128,0.0474576,0.040678,0.100987
f_row_missing_rate,129,0.0338983,0.040678,0.100987
f_row_missing_rate,130,0.0338983,0.040678,0.100987
f_row_missing_rate,131,0.0338983,0.040678,0.100987
f_row_missing_rate,132,0.0542373,0.040678,0.100987
f_row_missing_rate,133,0.142373,0.040678,0.100987
f_row_missing_rate,134,0.0677966,0.040678,0.100987
f_row_missing_rate,135,0.0677966,0.040678,0.100987
f_row_missing_rate,136,0.0474576,0.040678,0.100987
f_row_missing_rate,137,0.0677966,0.040678,0.100987
f_row_missing_rate,138,0.0474576,0.040678,0.100987
f_row_missing_rate,139,0.0474576,0.040678,0.100987
f_row_missing_rate,140,0.0677966,0.040678,0.100987
f_row_missing_rate,141,0.0474576,0.040678,0.100987
f_row_missing_rate,142,0.0610169,0.040678,0.100987
f_row_missing_rate,143,0.0338983,0.040678,0.100987
f_row_missing_rate,144,0.0338983,0.040678,0.100987
f_row_missing_rate,145,0.0610169,0.040678,0.100987
f_row_missing_rate,146,0.0474576,0.040678,0.100987
f_row_missing_rate,147,0.040678,0.040678,0.100987
f_row_missing_rate,148,0.0474576,0.040678,0.100987
f_row_missing_rate,149,0.040678,0.040678,0.100987
f_row_missing_rate,150,0.0474576,0.040678,0.100987
f_row_missing_rate,151,0.0881356,0.040678,0.100987
f_row_missing_rate,152,0.0474576,0.040678,0.100987
f_row_missing_rate,153,0.0338983,0.040678,0.100987
f_row_missing_rate,154,0.0474576,0.040678,0.100987
f_row_missing_rate,155,0.040678,0.040678,0.100987
f_row_missing_rate,156,0.0474576,0.040678,0.100987
f_row_missing_rate,157,0.040678,0.040678,0.100987
f_row_missing_rate,158,0.0474576,0.040678,0.100987
f_row_missing_rate,159,0.0338983,0.040678,0.100987
f_row_missing_rate,160,0.0338983,0.040678,0.100987
f_row_missing_rate,161,0.0338983,0.040678,0.100987
f_row_missing_rate,162,0.0338983,0.040678,0.100987
f_row_missing_rate,163,0.0542373,0.040678,0.100987
f_row_missing_rate,164,0.040678,0.040678,0.100987
f_row_missing_rate,165,0.0610169,0.040678,0.100987
f_row_missing_rate,166,0.0338983,0.040678,0.100987
f_row_missing_rate,167,0.040678,0.040678,0.100987
f_row_missing_rate,168,0.040678,0.040678,0.100987
f_row_missing_rate,169,0.0542373,0.040678,0.100987
f_row_missing_rate,170,0.0338983,0.040678,0.100987
f_row_missing_rate,171,0.0474576,0.040678,0.100987
f_row_missing_rate,172,0.0338983,0.040678,0.100987
f_row_missing_rate,173,0.0677966,0.040678,0.100987
f_row_missing_rate,174,0.040678,0.040678,0.100987
f_row_missing_rate,175,0.0677966,0.040678,0.100987
f_row_missing_rate,176,0.0474576,0.040678,0.100987
f_row_missing_rate,177,0.0610169,0.040678,0.100987
f_row_missing_rate,178,0.040678,0.040678,0.100987
f_row_missing_rate,179,0.040678,0.040678,0.100987
f_row_missing_rate,180,0.040678,0.040678,0.100987
f_row_missing_rate,181,0.0474576,0.040678,0.100987
f_row_missing_rate,182,0.0338983,0.040678,0.100987
f_row_missing_rate,183,0.0728814,0.040678,0.100987
f_row_missing_rate,184,0.0474576,0.040678,0.100987
f_row_missing_rate,185,0.0610169,0.040678,0.100987
f_row_missing_rate,186,0.0338983,0.040678,0.100987
f_row_missing_rate,187,0.0474576,0.040678,0.100987
f_row_missing_rate,188,0.0610169,0.040678,0.100987
f_row_missing_rate,189,0.0474576,0.040678,0.100987
f_row_missing_rate,190,0.0338983,0.040678,0.100987
f_row_missing_rate,191,0.0474576,0.040678,0.100987
f_row_missing_rate,192,0.0542373,0.040678,0.100987
f_row_missing_rate,193,0.040678,0.040678,0.100987
f_row_missing_rate,194,0.0338983,0.040678,0.100987
f_row_missing_rate,195,0.101695,0.040678,0.100987
f_row_missing_rate,196,0.0525424,0.040678,0.100987
f_row_missing_rate,197,0.040678,0.040678,0.100987
f_row_missing_rate,198,0.0745763,0.040678,0.100987
f_row_missing_rate,199,0.0474576,0.040678,0.100987
f_row_missing_rate,200,0.0542373,0.040678,0.100987
f_row_missing_rate,201,0.0813559,0.040678,0.100987
f_row_missing_rate,202,0.0542373,0.040678,0.100987
f_row_missing_rate,203,0.0542373,0.040678,0.100987
f_row_missing_rate,204,0.0677966,0.040678,0.100987
f_row_missing_rate,205,0.0474576,0.040678,0.100987
f_row_missing_rate,206,0.040678,0.040678,0.100987
f_row_missing_rate,207,0.0474576,0.040678,0.100987
f_row_missing_rate,208,0.0474576,0.040678,0.100987
f_row_missing_rate,209,0.0338983,0.040678,0.100987
f_row_missing_rate,210,0.0542373,0.040678,0.100987
f_row_missing_rate,211,0.0474576,0.040678,0.100987
f_row_missing_rate,212,0.0542373,0.040678,0.100987
f_row_missing_rate,213,0.0542373,0.040678,0.100987
f_row_missing_rate,214,0.0610169,0.040678,0.100987
f_row_missing_rate,215,0.0474576,0.040678,0.100987
f_row_missing_rate,216,0.0338983,0.040678,0.100987
f_row_missing_rate,217,0.040678,0.040678,0.100987
f_row_missing_rate,218,0.040678,0.040678,0.100987
f_row_missing_rate,219,0.040678,0.040678,0.100987
f_row_missing_rate,220,0.040678,0.040678,0.100987
f_row_missing_rate,221,0.040678,0.040678,0.100987
f_row_missing_rate,222,0.0542373,0.040678,0.100987
f_row_missing_rate,223,0.0474576,0.040678,0.100987
f_row_missing_rate,224,0.0338983,0.040678,0.100987
f_row_missing_rate,225,0.0338983,0.040678,0.100987
f_row_missing_rate,226,0.0542373,0.040678,0.100987
f_row_missing_rate,227,0.0474576,0.040678,0.100987
f_row_missing_rate,228,0.0338983,0.040678,0.100987
f_row_missing_rate,229,0.0542373,0.040678,0.100987
f_row_missing_rate,230,0.0542373,0.040678,0.100987
f_row_missing_rate,231,0.040678,0.040678,0.100987
f_row_missing_rate,232,0.040678,0.040678,0.100987
f_row_missing_rate,233,0.0474576,0.040678,0.100987
f_row_missing_rate,234,0.040678,0.040678,0.100987
f_row_missing_rate,235,0.0745763,0.040678,0.100987
f_row_missing_rate,236,0.040678,0.040678,0.100987
f_row_missing_rate,237,0.040678,0.040678,0.100987
f_row_missing_rate,238,0.0610169,0.040678,0.100987
f_row_missing_rate,239,0.0338983,0.040678,0.100987
f_row_missing_rate,240,0.0338983,0.040678,0.100987
f_row_missing_rate,241,0.040678,0.040678,0.100987
f_row_missing_rate,242,0.0474576,0.040678,0.100987
f_row_missing_rate,243,0.040678,0.040678,0.100987
f_row_missing_rate,244,0.040678,0.040678,0.100987
f_row_missing_rate,245,0.0610169,0.040678,0.100987
f_row_missing_rate,246,0.0610169,0.040678,0.100987
f_row_missing_rate,247,0.0542373,0.040678,0.100987
f_row_missing_rate,248,0.0610169,0.040678,0.100987
f_row_missing_rate,249,0.0542373,0.040678,0.100987
f_row_missing_rate,250,0.0542373,0.040678,0.100987
f_row_missing_rate,251,0.0610169,0.040678,0.100987
f_row_missing_rate,252,0.0745763,0.040678,0.100987
f_row_missing_rate,253,0.0338983,0.040678,0.100987
f_row_missing_rate,254,0.0338983,0.040678,0.100987
f_row_missing_rate,255,0.040678,0.040678,0.100987
f_row_missing_rate,256,0.0542373,0.040678,0.100987
f_row_missing_rate,257,0.0610169,0.040678,0.100987
f_row_missing_rate,258,0.040678,0.040678,0.100987
f_row_missing_rate,259,0.040678,0.040678,0.100987
f_row_missing_rate,260,0.0542373,0.040678,0.100987
f_row_missing_rate,261,0.040678,0.040678,0.100987
f_row_missing_rate,262,0.0745763,0.040678,0.100987
f_row_missing_rate,263,0.0338983,0.040678,0.100987
f_row_missing_rate,264,0.0474576,0.040678,0.100987
f_row_missing_rate,265,0.0677966,0.040678,0.100987
f_row_missing_rate,266,0.0542373,0.040678,0.100987
f_row_missing_rate,267,0.0338983,0.040678,0.100987
f_row_missing_rate,268,0.0542373,0.040678,0.100987
f_row_missing_rate,269,0.0745763,0.040678,0.100987
f_row_missing_rate,270,0.0474576,0.040678,0.100987
f_row_missing_rate,271,0.0542373,0.040678,0.100987
f_row_missing_rate,272,0.0745763,0.040678,0.100987
f_row_missing_rate,273,0.0474576,0.040678,0.100987
f_row_missing_rate,274,0.0542373,0.040678,0.100987
f_row_missing_rate,275,0.0474576,0.040678,0.100987
f_row_missing_rate,276,0.040678,0.040678,0.100987
f_row_missing_rate,277,0.0338983,0.040678,0.100987
f_row_missing_rate,278,0.040678,0.040678,0.100987
f_row_missing_rate,279,0.040678,0.040678,0.100987
f_row_missing_rate,280,0.0474576,0.040678,0.100987
f_row_missing_rate,281,0.0542373,0.040678,0.100987
f_row_missing_rate,282,0.0745763,0.040678,0.100987
f_row_missing_rate,283,0.0610169,0.040678,0.100987
f_row_missing_rate,284,0.0813559,0.040678,0.100987
f_row_missing_rate,285,0.040678,0.040678,0.100987
f_row_missing_rate,286,0.0474576,0.040678,0.100987
f_row_missing_rate,287,0.0338983,0.040678,0.100987
f_row_missing_rate,288,0.040678,0.040678,0.100987
f_row_missing_rate,289,0.0338983,0.040678,0.100987
f_row_missing_rate,290,0.0474576,0.040678,0.100987
f_row_missing_rate,291,0.0474576,0.040678,0.100987
f_row_missing_rate,292,0.0610169,0.040678,0.100987
f_row_missing_rate,293,0.040678,0.040678,0.100987
f_row_missing_rate,294,0.0542373,0.040678,0.100987
f_row_missing_rate,295,0.0542373,0.040678,0.100987
f_row_missing_rate,296,0.0610169,0.040678,0.100987
f_row_missing_rate,297,0.0610169,0.040678,0.100987
f_row_missing_rate,298,0.0474576,0.040678,0.100987
f_row_missing_rate,299,0.135593,0.040678,0.100987
f_row_missing_rate,300,0.0610169,0.040678,0.100987
f_row_missing_rate,301,0.040678,0.040678,0.100987
f_row_missing_rate,302,0.0542373,0.040678,0.100987
f_row_missing_rate,303,0.0610169,0.040678,0.100987
f_row_missing_rate,304,0.0474576,0.040678,0.100987
f_row_missing_rate,305,0.0542373,0.040678,0.100987
f_row_missing_rate,306,0.040678,0.040678,0.100987
f_row_missing_rate,307,0.0677966,0.040678,0.100987
f_row_missing_rate,308,0.0745763,0.040678,0.100987
f_row_missing_rate,309,0.0610169,0.040678,0.100987
f_row_missing_rate,310,0.040678,0.040678,0.100987
f_row_missing_rate,311,0.0474576,0.040678,0.100987
f_row_missing_rate,312,0.0338983,0.040678,0.100987
f_row_missing_rate,313,0.0542373,0.040678,0.100987
f_row_missing_rate,314,0.0271186,0.040678,0.100987
f_row_missing_rate,315,0.040678,0.040678,0.100987
f_row_missing_rate,316,0.108475,0.040678,0.100987
f_row_missing_rate,317,0.0610169,0.040678,0.100987
f_row_missing_rate,318,0.0338983,0.040678,0.100987
f_row_missing_rate,319,0.0474576,0.040678,0.100987
f_row_missing_rate,320,0.0542373,0.040678,0.100987
f_row_missing_rate,321,0.0677966,0.040678,0.100987
f_row_missing_rate,322,0.0677966,0.040678,0.100987
f_row_missing_rate,323,0.0474576,0.040678,0.100987
f_row_missing_rate,324,0.0542373,0.040678,0.100987
f_row_missing_rate,325,0.0610169,0.040678,0.100987
f_row_missing_rate,326,0.0677966,0.040678,0.100987
f_row_missing_rate,327,0.0677966,0.040678,0.100987
f_row_missing_rate,328,0.0542373,0.040678,0.100987
f_row_missing_rate,329,0.0813559,0.040678,0.100987
f_row_missing_rate,330,0.0610169,0.040678,0.100987
f_row_missing_rate,331,0.0474576,0.040678,0.100987
f_row_missing_rate,332,0.040678,0.040678,0.100987
f_row_missing_rate,333,0.040678,0.040678,0.100987
f_row_missing_rate,334,0.040678,0.040678,0.100987
f_row_missing_rate,335,0.0745763,0.040678,0.100987
f_row_missing_rate,336,0.108475,0.040678,0.100987
f_row_missing_rate,337,0.0474576,0.040678,0.100987
f_row_missing_rate,338,0.0474576,0.040678,0.100987
f_row_missing_rate,339,0.0542373,0.040678,0.100987
f_row_missing_rate,340,0.0338983,0.040678,0.100987
f_row_missing_rate,341,0.0610169,0.040678,0.100987
f_row_missing_rate,342,0.0338983,0.040678,0.100987
f_row_missing_rate,343,0.0474576,0.040678,0.100987
f_row_missing_rate,344,0.0745763,0.040678,0.100987
f_row_missing_rate,345,0.0474576,0.040678,0.100987
f_row_missing_rate,346,0.0813559,0.040678,0.100987
f_row_missing_rate,347,0.0338983,0.040678,0.100987
f_row_missing_rate,348,0.0474576,0.040678,0.100987
f_row_missing_rate,349,0.040678,0.040678,0.100987
f_row_missing_rate,350,0.040678,0.040678,0.100987
f_row_missing_rate,351,0.040678,0.040678,0.100987
f_row_missing_rate,352,0.0474576,0.040678,0.100987
f_row_missing_rate,353,0.0474576,0.040678,0.100987
f_row_missing_rate,354,0.0542373,0.040678,0.100987
f_row_missing_rate,355,0.040678,0.040678,0.100987
f_row_missing_rate,356,0.0474576,0.040678,0.100987
f_row_missing_rate,357,0.0474576,0.040678,0.100987
f_row_missing_rate,358,0.0677966,0.040678,0.100987
f_row_missing_rate,359,0.040678,0.040678,0.100987
f_row_missing_rate,360,0.0338983,0.040678,0.100987
f_row_missing_rate,361,0.040678,0.040678,0.100987
f_row_missing_rate,362,0.0610169,0.040678,0.100987
f_row_missing_rate,363,0.040678,0.040678,0.100987
f_row_missing_rate,364,0.0542373,0.040678,0.100987
f_row_missing_rate,365,0.0338983,0.040678,0.100987
f_row_missing_rate,366,0.040678,0.040678,0.100987
f_row_missing_rate,367,0.0338983,0.040678,0.100987
f_row_missing_rate,368,0.040678,0.040678,0.100987
f_row_missing_rate,369,0.0677966,0.040678,0.100987
f_row_missing_rate,370,0.040678,0.040678,0.100987
f_row_missing_rate,371,0.0338983,0.040678,0.100987
f_row_missing_rate,372,0.0677966,0.040678,0.100987
f_row_missing_rate,373,0.0677966,0.040678,0.100987
f_row_missing_rate,374,0.0610169,0.040678,0.100987
f_row_missing_rate,375,0.0745763,0.040678,0.100987
f_row_missing_rate,376,0.0542373,0.040678,0.100987
f_row_missing_rate,377,0.040678,0.040678,0.100987
f_row_missing_rate,378,0.0542373,0.040678,0.100987
f_row_missing_rate,379,0.0474576,0.040678,0.100987
f_row_missing_rate,380,0.0271186,0.040678,0.100987
f_row_missing_rate,381,0.040678,0.040678,0.100987
f_row_missing_rate,382,0.0610169,0.040678,0.100987
f_row_missing_rate,383,0.0677966,0.040678,0.100987
f_row_missing_rate,384,0.0745763,0.040678,0.100987
f_row_missing_rate,385,0.0338983,0.040678,0.100987
f_row_missing_rate,386,0.0610169,0.040678,0.100987
f_row_missing_rate,387,0.0474576,0.040678,0.100987
f_row_missing_rate,388,0.0677966,0.040678,0.100987
f_row_missing_rate,389,0.040678,0.040678,0.100987
f_row_missing_rate,390,0.0474576,0.040678,0.100987
f_row_missing_rate,391,0.0610169,0.040678,0.100987
f_row_missing_rate,392,0.0474576,0.040678,0.100987
f_row_missing_rate,393,0.0338983,0.040678,0.100987
f_row_missing_rate,394,0.0474576,0.040678,0.100987
f_row_missing_rate,395,0.040678,0.040678,0.100987
f_row_missing_rate,396,0.0338983,0.040678,0.100987
f_row_missing_rate,397,0.0813559,0.040678,0.100987
f_row_missing_rate,398,0.0338983,0.040678,0.100987
f_row_missing_rate,399,0.0610169,0.040678,0.100987
f_row_missing_rate,400,0.040678,0.040678,0.100987
f_row_missing_rate,401,0.0542373,0.040678,0.100987
f_row_missing_rate,402,0.040678,0.040678,0.100987
f_row_missing_rate,403,0.0610169,0.040678,0.100987
f_row_missing_rate,404,0.0474576,0.040678,0.100987
f_row_missing_rate,405,0.0677966,0.040678,0.100987
f_row_missing_rate,406,0.0610169,0.040678,0.100987
f_row_missing_rate,407,0.0610169,0.040678,0.100987
f_row_missing_rate,408,0.040678,0.040678,0.100987
f_row_missing_rate,409,0.0474576,0.040678,0.100987
f_row_missing_rate,410,0.0474576,0.040678,0.100987
f_row_missing_rate,411,0.040678,0.040678,0.100987
f_row_missing_rate,412,0.040678,0.040678,0.100987
f_row_missing_rate,413,0.0610169,0.040678,0.100987
f_row_missing_rate,414,0.0474576,0.040678,0.100987
f_row_missing_rate,415,0.0338983,0.040678,0.100987
f_row_missing_rate,416,0.040678,0.040678,0.100987
f_row_missing_rate,417,0.0610169,0.040678,0.100987
f_row_missing_rate,418,0.040678,0.040678,0.100987
f_row_missing_rate,419,0.040678,0.040678,0.100987
f_row_missing_rate,420,0.0610169,0.040678,0.100987
f_row_missing_rate,421,0.0677966,0.040678,0.100987
f_row_missing_rate,422,0.040678,0.040678,0.100987
f_row_missing_rate,423,0.040678,0.040678,0.100987
f_row_missing_rate,424,0.0474576,0.040678,0.100987
f_row_missing_rate,425,0.0474576,0.040678,0.100987
f_row_missing_rate,426,0.0677966,0.040678,0.100987
f_row_missing_rate,427,0.0677966,0.040678,0.100987
f_row_missing_rate,428,0.0542373,0.040678,0.100987
f_row_missing_rate,429,0.040678,0.040678,0.100987
f_row_missing_rate,430,0.0542373,0.040678,0.100987
f_row_missing_rate,431,0.0542373,0.040678,0.100987
f_row_missing_rate,432,0.0745763,0.040678,0.100987
f_row_missing_rate,433,0.0542373,0.040678,0.100987
f_row_missing_rate,434,0.040678,0.040678,0.100987
f_row_missing_rate,435,0.040678,0.040678,0.100987
f_row_missing_rate,436,0.0610169,0.040678,0.100987
f_row_missing_rate,437,0.0474576,0.040678,0.100987
f_row_missing_rate,438,0.0542373,0.040678,0.100987
f_row_missing_rate,439,0.040678,0.040678,0.100987
f_row_missing_rate,440,0.040678,0.040678,0.100987
f_row_missing_rate,441,0.0745763,0.040678,0.100987
f_row_missing_rate,442,0.0542373,0.040678,0.100987
f_row_missing_rate,443,0.0542373,0.040678,0.100987
f_row_missing_rate,444,0.0542373,0.040678,0.100987
f_row_missing_rate,445,0.0338983,0.040678,0.100987
f_row_missing_rate,446,0.0338983,0.040678,0.100987
f_row_missing_rate,447,0.0338983,0.040678,0.100987
f_row_missing_rate,448,0.0474576,0.040678,0.100987
f_row_missing_rate,449,0.0610169,0.040678,0.100987
f_row_missing_rate,450,0.0677966,0.040678,0.100987
f_row_missing_rate,451,0.040678,0.040678,0.100987
f_row_missing_rate,452,0.040678,0.040678,0.100987
f_row_missing_rate,453,0.040678,0.040678,0.100987
f_row_missing_rate,454,0.0745763,0.040678,0.100987
f_row_missing_rate,455,0.0338983,0.040678,0.100987
f_row_missing_rate,456,0.0542373,0.040678,0.100987
f_row_missing_rate,457,0.0610169,0.040678,0.100987
f_row_missing_rate,458,0.0610169,0.040678,0.100987
f_row_missing_rate,459,0.0949153,0.040678,0.100987
f_row_missing_rate,460,0.0610169,0.040678,0.100987
f_row_missing_rate,461,0.0474576,0.040678,0.100987
f_row_missing_rate,462,0.040678,0.040678,0.100987
f_row_missing_rate,463,0.0677966,0.040678,0.100987
f_row_missing_rate,464,0.0610169,0.040678,0.100987
f_row_missing_rate,465,0.0745763,0.040678,0.100987
f_row_missing_rate,466,0.0610169,0.040678,0.100987
f_row_missing_rate,467,0.040678,0.040678,0.100987
f_row_missing_rate,468,0.0745763,0.040678,0.100987
f_row_missing_rate,469,0.0610169,0.040678,0.100987
f_row_missing_rate,470,0.0542373,0.040678,0.100987
f_row_missing_rate,471,0.0542373,0.040678,0.100987
f_row_missing_rate,472,0.0542373,0.040678,0.100987
f_row_missing_rate,473,0.0474576,0.040678,0.100987
f_row_missing_rate,474,0.0542373,0.040678,0.100987
f_row_missing_rate,475,0.0542373,0.040678,0.100987
f_row_missing_rate,476,0.0661017,0.040678,0.100987
f_row_missing_rate,477,0.0610169,0.040678,0.100987
f_row_missing_rate,478,0.0661017,0.040678,0.100987
f_row_missing_rate,479,0.040678,0.040678,0.100987
f_row_missing_rate,480,0.040678,0.040678,0.100987
f_row_missing_rate,481,0.0474576,0.040678,0.100987
f_row_missing_rate,482,0.0542373,0.040678,0.100987
f_row_missing_rate,483,0.0813559,0.040678,0.100987
f_row_missing_rate,484,0.0542373,0.040678,0.100987
f_row_missing_rate,485,0.0542373,0.040678,0.100987
f_row_missing_rate,486,0.0745763,0.040678,0.100987
f_row_missing_rate,487,0.0610169,0.040678,0.100987
f_row_missing_rate,488,0.040678,0.040678,0.100987
f_row_missing_rate,489,0.0338983,0.040678,0.100987
f_row_missing_rate,490,0.0542373,0.040678,0.100987
f_row_missing_rate,491,0.0677966,0.040678,0.100987
f_row_missing_rate,492,0.0610169,0.040678,0.100987
f_row_missing_rate,493,0.0677966,0.040678,0.100987
f_row_missing_rate,494,0.0745763,0.040678,0.100987
f_row_missing_rate,495,0.040678,0.040678,0.100987
f_row_missing_rate,496,0.040678,0.040678,0.100987
f_row_missing_rate,497,0.0745763,0.040678,0.100987
f_row_missing_rate,498,0.0474576,0.040678,0.100987
f_row_missing_rate,499,0.0610169,0.040678,0.100987
f_row_missing_rate,500,0.0813559,0.040678,0.100987
f_row_missing_rate,501,0.0474576,0.040678,0.100987
f_row_missing_rate,502,0.0542373,0.040678,0.100987
