feature,t,value,mr,ewma,ewma_lcl,ewma_ucl,r1,r2,r3,r4
s060,62,18.3209,4.5091,12.4922,-3.5136,5.3645,True,True,True,False
s060,63,16.4582,1.8627,13.2854,-3.5136,5.3645,True,True,True,False
s060,64,9.05,7.4082,12.4383,-3.5136,5.3645,False,False,True,False
s060,65,18.8309,9.7809,13.7168,-3.5136,5.3645,True,True,True,False
s060,66,18.2809,0.55,14.6297,-3.5136,5.3645,True,True,True,False
s060,67,19.8,1.5191,15.6637,-3.5136,5.3645,True,True,True,True
s060,68,11.6818,8.1182,14.8673,-3.5136,5.3645,False,True,True,True
s060,69,22.4345,10.7527,16.3808,-3.5136,5.3645,True,True,True,True
s060,70,17.1627,5.2718,16.5372,-3.5136,5.3645,True,True,True,True
s060,71,25.4573,8.2946,18.3212,-3.5136,5.3645,True,True,True,True
s060,72,20.5509,4.9064,18.7671,-3.5136,5.3645,True,True,True,True
s060,73,18.6827,1.8682,18.7502,-3.5136,5.3645,True,True,True,True
s060,74,25.4427,6.76,20.0887,-3.5136,5.3645,True,True,True,True
s060,75,17.6373,7.8054,19.5984,-3.5136,5.3645,True,True,True,True
s060,76,24.3509,6.7136,20.5489,-3.5136,5.3645,True,True,True,True
s060,77,12.0627,12.2882,18.8517,-3.5136,5.3645,False,True,True,True
s060,78,9.5227,2.54,16.9859,-3.5136,5.3645,False,False,True,True
s060,79,22.9245,13.4018,18.1736,-3.5136,5.3645,True,True,True,True
s060,80,9.3336,13.5909,16.4056,-3.5136,5.3645,False,False,True,True
s060,81,12.5391,3.2055,15.6323,-3.5136,5.3645,False,True,True,True
s060,82,12.4309,0.1082,14.992,-3.5136,5.3645,False,True,True,True
s060,83,28.6355,16.2046,17.7207,-3.5136,5.3645,True,True,True,True
s060,84,8.6927,19.9428,15.9151,-3.5136,5.3645,False,False,True,True
s060,85,-5.3055,13.9982,11.671,-3.5136,5.3645,False,False,False,False
s060,86,-8.7491,3.4436,7.58698,-3.5136,5.3645,False,False,False,False
s060,87,26.6582,35.4073,11.4012,-3.5136,5.3645,True,False,False,False
s060,88,28.7064,2.0482,14.8623,-3.5136,5.3645,True,True,False,False
s060,89,-8.2255,36.9319,10.2447,-3.5136,5.3645,False,False,False,False
s060,90,28.1191,36.3446,13.8196,-3.5136,5.3645,True,True,False,False
s060,91,8.6673,19.4518,12.7891,-3.5136,5.3645,False,False,True,False
s060,92,3.8509,4.8164,11.0015,-3.5136,5.3645,False,False,False,False
s060,93,-15.1964,19.0473,5.76191,-3.5136,5.3645,True,False,False,False
s060,94,-6.4836,8.7128,3.3128,-3.5136,5.3645,False,False,False,False
s060,95,-11.2182,4.7346,0.406603,-3.5136,5.3645,False,True,False,False
s060,96,11.5591,22.7773,2.6371,-3.5136,5.3645,False,False,False,False
s060,97,28.4227,16.8636,7.79422,-3.5136,5.3645,True,True,False,False
s060,98,24.4727,3.95,11.1299,-3.5136,5.3645,True,True,False,False
s060,99,5.1345,19.3382,9.93083,-3.5136,5.3645,False,False,False,False
s060,100,24.8064,19.6719,12.9059,-3.5136,5.3645,True,True,True,False
s060,101,27.6182,2.8118,15.8484,-3.5136,5.3645,True,True,True,False
s060,102,20.5864,7.0318,16.796,-3.5136,5.3645,True,True,True,False
s060,103,27.6655,7.0791,18.9699,-3.5136,5.3645,True,True,True,True
s060,104,29.0264,1.3609,20.9812,-3.5136,5.3645,True,True,True,True
s060,105,27.7364,1.29,22.3322,-3.5136,5.3645,True,True,True,True
s060,106,24.8282,2.9082,22.8314,-3.5136,5.3645,True,True,True,True
s060,107,24.6118,0.2164,23.1875,-3.5136,5.3645,True,True,True,True
s060,108,27.7155,3.1037,24.0931,-3.5136,5.3645,True,True,True,True
s060,109,23.7864,3.9291,24.0318,-3.5136,5.3645,True,True,True,True
s060,110,20.6,3.1864,23.3454,-3.5136,5.3645,True,True,True,True
s060,111,29.7509,9.1509,24.6265,-3.5136,5.3645,True,True,True,True
s060,112,23.9945,5.7564,24.5001,-3.5136,5.3645,True,True,True,True
s060,113,16.7909,7.2036,22.9583,-3.5136,5.3645,True,True,True,True
s060,114,18.5764,1.7855,22.0819,-3.5136,5.3645,True,True,True,True
s060,115,23.7136,5.1372,22.4082,-3.5136,5.3645,True,True,True,True
s060,116,24.2918,0.5782,22.7849,-3.5136,5.3645,True,True,True,True
s060,117,25.5127,1.2209,23.3305,-3.5136,5.3645,True,True,True,True
s060,118,26.7064,1.1937,24.0057,-3.5136,5.3645,True,True,True,True
s060,119,8.9136,17.7928,20.9873,-3.5136,5.3645,False,False,True,True
s060,120,8.9418,0.0282,18.5782,-3.5136,5.3645,False,False,True,True
s060,121,6.9918,1.95,16.2609,-3.5136,5.3645,False,False,True,True
s060,122,16.6036,9.6118,16.3294,-3.5136,5.3645,True,False,True,True
s060,123,16.5255,0.0781,16.3686,-3.5136,5.3645,True,True,True,True
s060,124,29.1918,12.6663,18.9333,-3.5136,5.3645,True,True,True,True
s060,125,10.08,19.1118,17.1626,-3.5136,5.3645,False,True,True,True
s060,126,3.9055,6.1745,14.5112,-3.5136,5.3645,False,False,False,True
s060,127,26.6527,22.7472,16.9395,-3.5136,5.3645,True,True,True,True
s060,128,17.6864,8.9663,17.0889,-3.5136,5.3645,True,True,True,True
s060,129,15.0182,2.6682,16.6747,-3.5136,5.3645,True,True,True,True
s060,130,15.7936,0.7754,16.4985,-3.5136,5.3645,True,True,True,True
s060,131,6.6636,9.13,14.5315,-3.5136,5.3645,False,False,True,True
s060,132,10.2109,3.5473,13.6674,-3.5136,5.3645,False,True,True,True
s060,133,-19.1518,29.3627,7.10356,-3.5136,5.3645,True,False,False,False
s060,134,22.2164,41.3682,10.1261,-3.5136,5.3645,True,True,True,False
s060,135,25.8364,3.62,13.2682,-3.5136,5.3645,True,True,True,False
s060,136,25.9591,0.1227,15.8064,-3.5136,5.3645,True,True,True,False
s060,137,23.8864,2.0727,17.4224,-3.5136,5.3645,True,True,True,False
s060,138,23.0364,0.85,18.5452,-3.5136,5.3645,True,True,True,False
s060,139,22.7418,0.2946,19.3845,-3.5136,5.3645,True,True,True,False
s060,140,-9.2836,32.0254,13.6509,-3.5136,5.3645,False,False,False,False
s060,141,-17.9336,8.65,7.33399,-3.5136,5.3645,True,True,False,False
s060,142,23.5609,41.4945,10.5794,-3.5136,5.3645,True,False,False,False
s060,143,-8.3127,31.8736,6.80096,-3.5136,5.3645,False,True,False,False
s060,144,5.3382,13.6509,6.5084,-3.5136,5.3645,False,False,False,False
s060,145,23.8745,18.5363,9.98162,-3.5136,5.3645,True,False,False,False
s060,146,27.3427,3.4682,13.4538,-3.5136,5.3645,True,True,False,False
s060,147,17.3018,10.0409,14.2234,-3.5136,5.3645,True,True,False,False
s060,148,26.2655,8.9637,16.6318,-3.5136,5.3645,True,True,True,False
s060,149,-21.2055,47.471,9.06438,-3.5136,5.3645,True,False,False,False
s060,150,-7.5382,13.6673,5.74386,-3.5136,5.3645,False,False,False,False
s060,151,4.3109,11.8491,5.45727,-3.5136,5.3645,False,False,False,False
s060,152,29.1164,24.8055,10.1891,-3.5136,5.3645,True,False,False,False
s060,153,15.8609,13.2555,11.3235,-3.5136,5.3645,True,True,False,False
s060,154,26.7745,10.9136,14.4137,-3.5136,5.3645,True,True,False,False
s060,155,-3.2509,30.0254,10.8808,-3.5136,5.3645,False,False,False,False
s060,156,0.2309,3.4818,8.75078,-3.5136,5.3645,False,False,False,False
s060,157,26.4509,26.22,12.2908,-3.5136,5.3645,True,False,False,False
s060,158,-12.1527,38.6036,7.4021,-3.5136,5.3645,False,False,False,False
s060,159,-1.5664,10.5863,5.6084,-3.5136,5.3645,False,False,False,False
s060,160,14.6455,16.2119,7.41582,-3.5136,5.3645,True,False,False,False
s060,161,9.6745,4.971,7.86756,-3.5136,5.3645,False,False,False,False
s060,162,9.8418,0.1673,8.26241,-3.5136,5.3645,False,True,False,False
s060,163,-5.8682,15.71,5.43629,-3.5136,5.3645,False,False,False,False
s060,164,-12.1373,6.2691,1.92157,-3.5136,5.3645,False,False,False,False
s060,165,12.8364,24.9737,4.10453,-3.5136,5.3645,False,False,False,False
s060,166,9.4982,3.3382,5.18327,-3.5136,5.3645,False,False,False,False
s060,167,2.5827,6.9155,4.66315,-3.5136,5.3645,False,False,False,False
s060,168,15.1073,12.5246,6.75198,-3.5136,5.3645,True,False,False,False
s060,169,4.4282,10.6791,6.28723,-3.5136,5.3645,False,False,False,False
s060,170,17.7927,13.3645,8.58832,-3.5136,5.3645,True,True,False,False
s060,171,22.7927,5,11.4292,-3.5136,5.3645,True,True,False,False
s060,172,4.6609,18.1318,10.0755,-3.5136,5.3645,False,False,False,True
s060,173,26.0509,21.39,13.2706,-3.5136,5.3645,True,True,False,True
s060,174,17.1673,8.8836,14.0499,-3.5136,5.3645,True,True,True,True
s060,175,27.7282,10.5609,16.7856,-3.5136,5.3645,True,True,True,True
s060,176,-13.1245,40.8527,10.8036,-3.5136,5.3645,True,False,False,False
s060,177,-10.8745,2.25,6.46796,-3.5136,5.3645,False,True,False,False
s060,178,-13.3573,2.4828,2.50291,-3.5136,5.3645,True,True,False,False
s060,179,-2.2809,11.0764,1.54615,-3.5136,5.3645,False,False,False,False
s060,180,4.9745,7.2554,2.23182,-3.5136,5.3645,False,False,False,False
s060,181,0.3764,4.5981,1.86073,-3.5136,5.3645,False,False,False,False
s060,182,27.4136,27.0372,6.97131,-3.5136,5.3645,True,False,False,False
s060,183,-10.1291,37.5427,3.55123,-3.5136,5.3645,False,False,False,False
s060,184,-11.4709,1.3418,0.546801,-3.5136,5.3645,False,True,False,False
s060,185,3.8964,15.3673,1.21672,-3.5136,5.3645,False,False,False,False
s060,186,12.8982,9.0018,3.55302,-3.5136,5.3645,False,False,False,False
s060,187,0.4836,12.4146,2.93913,-3.5136,5.3645,False,False,False,False
s060,188,12.3073,11.8237,4.81277,-3.5136,5.3645,False,True,False,False
s060,189,21.7573,9.45,8.20167,-3.5136,5.3645,True,True,False,False
s060,190,10.0236,11.7337,8.56606,-3.5136,5.3645,False,True,True,False
s060,191,8.0636,1.96,8.46557,-3.5136,5.3645,False,False,True,False
s060,192,2.0427,6.0209,7.18099,-3.5136,5.3645,False,False,False,False
s060,193,17.4,15.3573,9.22479,-3.5136,5.3645,True,False,True,False
s060,194,3.28,14.12,8.03584,-3.5136,5.3645,False,False,False,False
s060,195,9.2527,5.9727,8.27921,-3.5136,5.3645,False,False,False,True
s060,196,-17.3591,26.6118,3.15155,-3.5136,5.3645,True,False,False,False
s060,197,-9.4964,7.8627,0.621958,-3.5136,5.3645,False,True,False,False
s060,198,-7.9627,1.5337,-1.09497,-3.5136,5.3645,False,True,False,False
s060,199,1.1173,9.08,-0.652519,-3.5136,5.3645,False,False,False,False
s060,200,8.3918,7.2745,1.15634,-3.5136,5.3645,False,False,False,False
s060,201,-15.5318,23.9236,-2.18128,-3.5136,5.3645,True,False,False,False
s060,202,9.6564,25.1882,0.186253,-3.5136,5.3645,False,False,False,False
s060,203,13.7,4.0436,2.889,-3.5136,5.3645,False,False,False,False
s060,204,6.5191,7.1809,3.61502,-3.5136,5.3645,False,False,True,False
s060,205,5.3118,1.2073,3.95438,-3.5136,5.3645,False,False,False,False
s060,206,7.7745,2.4627,4.7184,-3.5136,5.3645,False,False,True,False
s060,207,23.9018,16.1273,8.55508,-3.5136,5.3645,True,False,True,False
s060,208,-0.3327,24.2345,6.77753,-3.5136,5.3645,False,False,False,False
s060,209,20.7782,21.1109,9.57766,-3.5136,5.3645,True,True,False,False
s060,210,24.26,3.4818,12.5141,-3.5136,5.3645,True,True,True,False
s060,211,6.7073,17.5527,11.3528,-3.5136,5.3645,False,False,True,False
s060,212,29.7264,23.0191,15.0275,-3.5136,5.3645,True,True,True,False
s060,213,11.4855,18.2409,14.3191,-3.5136,5.3645,False,True,True,False
s060,214,28.3127,16.8272,17.1178,-3.5136,5.3645,True,True,True,False
s060,215,13.7255,14.5872,16.4394,-3.5136,5.3645,False,True,True,False
s060,216,18.8673,5.1418,16.9249,-3.5136,5.3645,True,True,True,True
s060,217,5.5782,13.2891,14.6556,-3.5136,5.3645,False,False,True,True
s060,218,25.5282,19.95,16.8301,-3.5136,5.3645,True,True,True,True
s060,219,5.9945,19.5337,14.663,-3.5136,5.3645,False,False,True,True
s060,220,2.7764,3.2181,12.2857,-3.5136,5.3645,False,False,False,True
s060,221,2.6173,0.1591,10.352,-3.5136,5.3645,False,False,False,True
s060,222,20.8336,18.2163,12.4483,-3.5136,5.3645,True,False,False,True
s060,223,27.3,6.4664,15.4187,-3.5136,5.3645,True,True,False,True
s060,224,5.4191,21.8809,13.4187,-3.5136,5.3645,False,False,False,True
s060,225,5.9136,0.4945,11.9177,-3.5136,5.3645,False,False,True,True
s060,226,5.3782,0.5354,10.6098,-3.5136,5.3645,False,False,True,True
s060,227,-11.2309,16.6091,6.24167,-3.5136,5.3645,False,False,False,False
s060,228,-1.8473,9.3836,4.62388,-3.5136,5.3645,False,False,False,False
s060,229,25.43,27.2773,8.7851,-3.5136,5.3645,True,False,False,False
s060,230,15.4555,9.9745,10.1192,-3.5136,5.3645,True,True,False,False
s060,231,0.7582,14.6973,8.24698,-3.5136,5.3645,False,False,False,False
s060,232,-12.0473,12.8055,4.18813,-3.5136,5.3645,False,False,False,False
s060,233,-10.2673,1.78,1.29704,-3.5136,5.3645,False,True,False,False
s060,234,1.1591,11.4264,1.26945,-3.5136,5.3645,False,False,False,False
s060,235,-11.8245,12.9836,-1.34934,-3.5136,5.3645,False,True,False,False
s060,236,8.4236,20.2481,0.60525,-3.5136,5.3645,False,False,False,False
s060,237,18.6045,10.1809,4.2051,-3.5136,5.3645,True,False,False,False
s060,238,8.9764,9.6281,5.15936,-3.5136,5.3645,False,False,False,False
s060,239,0.7218,8.2546,4.27185,-3.5136,5.3645,False,False,False,False
s060,240,-1.42,2.1418,3.13348,-3.5136,5.3645,False,False,False,False
s060,241,9.2082,10.6282,4.34842,-3.5136,5.3645,False,False,False,False
s060,242,12.1609,2.9527,5.91092,-3.5136,5.3645,False,False,False,False
s060,243,8.5273,3.6336,6.43419,-3.5136,5.3645,False,False,False,False
s060,244,17.1745,8.6472,8.58226,-3.5136,5.3645,True,True,True,False
s060,245,5.7855,11.389,8.0229,-3.5136,5.3645,False,False,True,False
s060,246,14.4382,8.6527,9.30596,-3.5136,5.3645,True,True,True,False
s060,247,11.6964,2.7418,9.78405,-3.5136,5.3645,False,True,True,False
s060,248,18.0545,6.3581,11.4381,-3.5136,5.3645,True,True,True,True
s060,249,20.7055,2.651,13.2916,-3.5136,5.3645,True,True,True,True
s060,250,1.1273,19.5782,10.8588,-3.5136,5.3645,False,False,False,True
s060,251,16.4073,15.28,11.9685,-3.5136,5.3645,True,True,True,True
s060,252,5.4018,11.0055,10.6551,-3.5136,5.3645,False,False,True,True
s060,253,26.8609,21.4591,13.8963,-3.5136,5.3645,True,True,True,True
s060,254,23.7709,3.09,15.8712,-3.5136,5.3645,True,True,True,True
s060,255,-0.84,24.6109,12.529,-3.5136,5.3645,False,False,False,False
s060,256,25.4264,26.2664,15.1085,-3.5136,5.3645,True,True,True,False
s060,257,26.6136,1.1872,17.4095,-3.5136,5.3645,True,True,True,False
s060,258,-6.5391,33.1527,12.6198,-3.5136,5.3645,False,False,False,False
s060,259,0.1518,6.6909,10.1262,-3.5136,5.3645,False,False,False,False
s060,260,2.8245,2.6727,8.66584,-3.5136,5.3645,False,False,False,False
s060,261,12.1818,9.3573,9.36903,-3.5136,5.3645,False,False,False,False
s060,262,19.5609,7.3791,11.4074,-3.5136,5.3645,True,True,False,False
s060,263,-1.1609,20.7218,8.89374,-3.5136,5.3645,False,False,False,False
s060,264,18.63,19.7909,10.841,-3.5136,5.3645,True,True,False,False
s060,265,20.7118,2.0818,12.8152,-3.5136,5.3645,True,True,True,False
s060,266,-11.9682,32.68,7.85848,-3.5136,5.3645,False,False,False,False
s060,267,16.8445,28.8127,9.65569,-3.5136,5.3645,True,True,False,False
s060,268,14.0382,2.8063,10.5322,-3.5136,5.3645,False,True,True,False
s060,269,28.4009,14.3627,14.1059,-3.5136,5.3645,True,True,True,False
s060,270,22.1827,6.2182,15.7213,-3.5136,5.3645,True,True,True,False
s060,271,9.1882,12.9945,14.4147,-3.5136,5.3645,False,False,True,False
s060,272,1.5018,7.6864,11.8321,-3.5136,5.3645,False,False,False,False
s060,273,16.0155,14.5137,12.6688,-3.5136,5.3645,True,False,True,False
s060,274,2.5027,13.5128,10.6356,-3.5136,5.3645,False,False,False,True
s060,275,87.0391,84.5364,25.9163,-3.5136,5.3645,True,True,False,True
s060,276,0.7591,86.28,20.8848,-3.5136,5.3645,False,False,False,False
s060,277,9.8782,9.1191,18.6835,-3.5136,5.3645,False,True,False,False
s060,278,15.6791,5.8009,18.0826,-3.5136,5.3645,True,True,False,False
s060,279,16.2418,0.5627,17.7145,-3.5136,5.3645,True,True,True,False
s060,280,10.3745,5.8673,16.2465,-3.5136,5.3645,False,True,True,False
s060,281,2.5045,7.87,13.4981,-3.5136,5.3645,False,False,False,False
s060,282,24.14,21.6355,15.6265,-3.5136,5.3645,True,True,True,False
s060,283,23.7109,0.4291,17.2433,-3.5136,5.3645,True,True,True,False
s060,284,5.78,17.9309,14.9507,-3.5136,5.3645,False,False,True,True
s060,285,-0.18,5.96,11.9245,-3.5136,5.3645,False,False,False,False
s060,286,-8.6082,8.4282,7.81799,-3.5136,5.3645,False,False,False,False
s060,287,22.7173,31.3255,10.7979,-3.5136,5.3645,True,False,False,False
s060,288,20.0236,2.6937,12.643,-3.5136,5.3645,True,True,False,False
s060,289,17.9782,2.0454,13.71,-3.5136,5.3645,True,True,False,False
s060,290,17.7327,0.2455,14.5146,-3.5136,5.3645,True,True,True,False
s060,291,1.3718,16.3609,11.886,-3.5136,5.3645,False,False,False,False
s060,292,2.0373,0.6655,9.91628,-3.5136,5.3645,False,False,False,False
s060,293,1.4218,0.6155,8.21738,-3.5136,5.3645,False,False,False,False
s060,294,22.4382,21.0164,11.0615,-3.5136,5.3645,True,False,False,True
s060,295,14.9018,7.5364,11.8296,-3.5136,5.3645,True,True,False,True
s060,296,4.4391,10.4627,10.3515,-3.5136,5.3645,False,False,False,True
s060,297,-15.31,19.7491,5.2192,-3.5136,5.3645,True,False,False,False
s060,298,27.3227,42.6327,9.6399,-3.5136,5.3645,True,False,False,False
s060,299,2.78,24.5427,8.26792,-3.5136,5.3645,False,False,False,False
s060,300,18.1782,15.3982,10.25,-3.5136,5.3645,True,True,False,False
s060,301,22.3736,4.1954,12.6747,-3.5136,5.3645,True,True,False,False
s060,302,24.4791,2.1055,15.0356,-3.5136,5.3645,True,True,True,False
s060,303,20.7209,3.7582,16.1726,-3.5136,5.3645,True,True,True,False
s060,304,6.2045,14.5164,14.179,-3.5136,5.3645,False,False,True,False
s060,305,6.9082,0.7037,12.7249,-3.5136,5.3645,False,False,True,True
s060,306,23.2655,16.3573,14.833,-3.5136,5.3645,True,False,True,True
s060,307,-7.8309,31.0964,10.3002,-3.5136,5.3645,False,False,False,False
s060,308,0.5373,8.3682,8.34762,-3.5136,5.3645,False,False,False,False
s060,309,3.1136,2.5763,7.30082,-3.5136,5.3645,False,False,False,False
s060,310,25.1891,22.0755,10.8785,-3.5136,5.3645,True,False,False,False
s060,311,1.23,23.9591,8.94878,-3.5136,5.3645,False,False,False,False
s060,312,13.5955,12.3655,9.87812,-3.5136,5.3645,False,True,False,False
s060,313,-2.9273,16.5228,7.31704,-3.5136,5.3645,False,False,False,False
s060,314,13.3745,16.3018,8.52853,-3.5136,5.3645,False,True,False,False
s060,315,27.4627,14.0882,12.3154,-3.5136,5.3645,True,True,False,False
s060,316,4.9991,22.4636,10.8521,-3.5136,5.3645,False,False,False,False
s060,317,1.9145,3.0846,9.06459,-3.5136,5.3645,False,False,False,False
s060,318,9.5927,7.6782,9.17021,-3.5136,5.3645,False,False,False,False
s060,319,1.8182,7.7745,7.69981,-3.5136,5.3645,False,False,False,False
s060,320,22.6936,20.8754,10.6986,-3.5136,5.3645,True,False,False,False
s060,321,19.1027,3.5909,12.3794,-3.5136,5.3645,True,True,False,True
s060,322,3.3055,15.7972,10.5646,-3.5136,5.3645,False,False,False,True
s060,323,13.6809,10.3754,11.1879,-3.5136,5.3645,False,True,False,True
s060,324,26.9136,13.2327,14.333,-3.5136,5.3645,True,True,True,True
s060,325,0.1427,26.7709,11.495,-3.5136,5.3645,False,False,False,False
s060,326,14.75,14.6073,12.146,-3.5136,5.3645,True,True,False,False
s060,327,8.0955,6.6545,11.3359,-3.5136,5.3645,False,False,True,False
s060,328,0.8873,7.2082,9.24616,-3.5136,5.3645,False,False,False,False
s060,329,1.77,0.8827,7.75093,-3.5136,5.3645,False,False,False,False
s060,330,21.1082,19.3382,10.4224,-3.5136,5.3645,True,False,False,False
s060,331,4.6327,16.4755,9.26444,-3.5136,5.3645,False,False,False,False
s060,332,10.7709,6.1382,9.56574,-3.5136,5.3645,False,True,False,False
s060,333,4.4155,6.3554,8.53569,-3.5136,5.3645,False,False,False,False
s060,334,4.4091,0.0064,7.71037,-3.5136,5.3645,False,False,False,False
s060,335,-10.37,14.7791,4.0943,-3.5136,5.3645,False,False,False,False
s060,336,5.8091,16.1791,4.43726,-3.5136,5.3645,False,False,False,False
s060,337,2.0664,3.7427,3.96309,-3.5136,5.3645,False,False,False,False
s060,338,-0.2173,2.2837,3.12701,-3.5136,5.3645,False,False,False,False
s060,339,4.97,5.1873,3.49561,-3.5136,5.3645,False,False,False,False
s060,340,1.4036,3.5664,3.07721,-3.5136,5.3645,False,False,False,False
s060,341,2.9536,1.55,3.05248,-3.5136,5.3645,False,False,False,False
s060,342,-0.5691,3.5227,2.32817,-3.5136,5.3645,False,False,False,False
s060,343,5.8727,6.4418,3.03707,-3.5136,5.3645,False,False,False,False
s060,344,14.0673,8.1946,5.24312,-3.5136,5.3645,False,False,False,False
s060,345,-5.6018,19.6691,3.07414,-3.5136,5.3645,False,False,False,False
s060,346,2.0009,7.6027,2.85949,-3.5136,5.3645,False,False,False,False
s060,347,20.81,18.8091,6.44959,-3.5136,5.3645,True,False,False,False
s060,348,-5.9045,26.7145,3.97877,-3.5136,5.3645,False,False,False,False
s060,349,-0.3264,5.5781,3.11774,-3.5136,5.3645,False,False,False,False
s060,350,4.3055,4.6319,3.35529,-3.5136,5.3645,False,False,False,False
s060,351,5.0809,0.7754,3.70041,-3.5136,5.3645,False,False,False,False
s060,352,6.3364,1.2555,4.22761,-3.5136,5.3645,False,False,False,False
s060,353,3.1418,3.1946,4.01045,-3.5136,5.3645,False,False,False,False
s060,354,22.1027,18.9609,7.6289,-3.5136,5.3645,True,False,False,False
s060,355,-0.8891,22.9918,5.9253,-3.5136,5.3645,False,False,False,False
s060,356,-6.8555,5.9664,3.36914,-3.5136,5.3645,False,False,False,False
