feature,center,sigma,lcl,ucl,mr_bar,mr_ucl,degenerate
s197,6.51,2.83177,-1.9853,15.0053,5.28649,17.271,False
s198,19.23,2.9059,10.5123,27.9477,4.47757,14.6282,False
s199,0.397,0.217942,-0.256827,1.05083,0.348504,1.13856,False
s200,8.61,3.15794,-0.863814,18.0838,7.14939,23.357,False
s201,17.57,4.29954,4.67138,30.4686,5.21164,17.0264,False
s202,6.47,2.78729,-1.89186,14.8319,3.58521,11.7129,False
s203,7.95,3.54267,-2.67802,18.578,4.74829,15.5127,False
s204,30.837,5.3596,14.7582,46.9158,6.65577,21.7444,False
s205,0.1643,0.0842117,-0.088335,0.416935,61.5457,201.07,False
s206,7.82,2.84659,-0.719776,16.3598,4.40238,14.3826,False
s207,0,0,0,0,0,0,True
s208,20.07,4.52193,6.50421,33.6358,6.31677,20.6369,False
s209,74.018,25.729,-3.16912,151.205,29.5646,96.5877,False
s210,0,0,0,0,0,0,True
s211,0.0796,0.0241664,0.00710086,0.152099,0.0339364,0.11087,False
s212,0.0527,0.0155673,0.0059981,0.0994019,0.0230431,0.0752819,False
s213,0.0421,0.0180877,-0.0121632,0.0963632,0.0294608,0.0962484,False
s214,0.0565,0.0284659,-0.0288978,0.141898,0.0352343,0.11511,False
s215,0.0742,0.0269833,-0.00674996,0.15515,0.0399648,0.130565,False
s216,0.0804,0.0263903,0.00122916,0.159571,0.0283805,0.0927191,False
s217,0.0849,0.0195703,0.026189,0.143611,0.0260594,0.0851361,False
s218,0.06,0.0278729,-0.0236186,0.143619,0.0369816,0.120819,False
s219,3.6846,1.09801,0.390559,6.97864,1.33606,4.3649,False
s220,0.003,0.00103782,-0.00011346,0.00611346,0.00139475,0.00455666,False
s221,0.0089,0.00177912,0.00356264,0.0142374,0.00227829,0.00744317,False
s222,0.0618,0.0272798,-0.0200395,0.14364,0.0256161,0.0836877,False
s223,0.0024,0.00207564,-0.00382692,0.00862692,0.0129298,0.0422417,False
s224,119.682,36.6005,9.8804,229.483,43.2657,141.349,False
s225,0.0396,0.0179395,-0.0142184,0.0934184,0.0456703,0.149205,False
s226,965,397.781,-228.344,2158.34,461.788,1508.66,False
s227,0,0,0,0,0,0,True
s228,0.0166,0.00563388,-0.00030164,0.0335016,0.00923936,0.030185,False
s229,0.0153,0.0051891,-0.0002673,0.0308673,0.00865666,0.0282813,False
s230,0,0,0,0,0,0,True
s231,0,0,0,0,0,0,True
s232,0,0,0,0,0,0,True
s233,0,0,0,0,0,0,True
s234,0,0,0,0,0,0,True
s235,0,0,0,0,0,0,True
s236,0,0,0,0,0,0,True
s237,0,0,0,0,0,0,True
s238,0,0,0,0,0,0,True
s239,0.0046,0.0014826,0.0001522,0.0090478,0.00179173,0.00585358,False
s240,0.0045,0.00118608,0.00094176,0.00805824,0.00132825,0.00433941,False
s241,0,0,0,0,0,0,True
s242,0,0,0,0,0,0,True
s243,0,0,0,0,0,0,True
s244,0,0,0,0,0,0,True
s245,0.0019,0.00118608,-0.00165824,0.00545824,0.00152646,0.00498695,False
s246,1.00435,0.319352,0.0462939,1.96241,0.472324,1.54308,False
s247,3.59905,1.15443,0.135771,7.06233,1.19796,3.91375,False
s248,0.02725,0.0159379,-0.0205638,0.0750639,0.0486693,0.159003,False
s249,0.0214,0.0096369,-0.0075107,0.0503107,0.0157795,0.0515517,False
s250,0,0,0,0,0.00223914,0.00731528,True
s251,102.289,40.7337,-19.9118,224.49,45.8115,149.666,False
s252,0.001,0.00044478,-0.00033434,0.00233434,0.00721995,0.0235876,False
s253,2.9025,1.16799,-0.601477,6.40648,5.05056,16.5002,False
s254,0.0304,0.00919212,0.00282364,0.0579764,0.0128662,0.0420339,False
s255,0.0156,0.0133434,-0.0244302,0.0556302,0.01,0.03267,False
s256,0.4159,0.136696,0.00581284,0.825987,0.104058,0.339959,False
s257,0,0,0,0,0,0,True
s258,0,0,0,0,0,0,True
s259,0,0,0,0,0,0,True
s260,0,0,0,0,0,0,True
s261,0,0,0,0,0,0,True
s262,0,0,0,0,0,0,True
s263,0,0,0,0,0,0,True
s264,0,0,0,0,0,0,True
s265,0,0,0,0,0,0,True
s266,0,0,0,0,0,0,True
s267,0,0,0,0,0,0,True
s268,0.0691,0.0357307,-0.038092,0.176292,0.0134061,0.0437976,False
s269,17.824,7.71545,-5.32235,40.9704,3.68689,12.0451,False
s270,3.72565,1.11291,0.386909,7.06439,1.0151,3.31634,False
s271,29.2145,5.6493,12.2666,46.1624,7.05989,23.0647,False
s272,45.2629,22.1154,-21.0832,111.609,19.5763,63.9558,False
s273,40.5185,19.9683,-19.3865,100.423,19.3849,63.3303,False
s274,19.4007,2.54918,11.7532,27.0482,3.38189,11.0487,False
s275,109.576,51.4201,-44.684,263.837,62.0179,202.613,False
s276,0.07885,0.0605642,-0.102843,0.260543,5.19825,16.9827,False
s277,0,0,0,0,0,0,True
s278,2.078,0.581624,0.333128,3.82287,0.677869,2.2146,False
s279,0.0011,0.00029652,0.00021044,0.00198956,0.000287846,0.000940393,False
s280,0.0359,0.0120091,-0.00012718,0.0719272,0.016642,0.0543693,False
s281,0.0167,0.00400302,0.00469094,0.0287091,0.00521911,0.0170508,False
s282,0.0137,0.00355824,0.00302528,0.0243747,0.00440474,0.0143903,False
s283,0.0053,0.0029652,-0.0035956,0.0141956,0.00312599,0.0102126,False
s284,2.6282,0.697415,0.535955,4.72045,1.02733,3.35629,False
s285,0,0,0,0,0,0,True
s286,1.8559,0.763836,-0.435607,4.14741,0.948539,3.09888,False
s287,3.4596,1.38045,-0.681747,7.60095,2.64444,8.63938,False
s288,0.1388,0.0468502,-0.00175048,0.27935,0.549203,1.79425,False
s289,0.0036,0.00192738,-0.00218214,0.00938214,0.0019039,0.00622004,False
s290,2.5164,0.683923,0.46463,4.56817,0.76032,2.48396,False
s291,0.0849,0.0363237,-0.0240711,0.193871,0.0719039,0.23491,False
s292,0.0169,0.00756126,-0.00578378,0.0395838,0.0121841,0.0398054,False
s293,0.0114,0.00415128,-0.00105384,0.0238538,0.00856694,0.0279882,False
s294,317.867,125.708,-59.2583,694.993,154.856,505.914,False
s295,271.156,159.085,-206.1,748.412,348.987,1140.14,False
s296,205.795,104.888,-108.869,520.459,203.61,665.194,False
s297,1252.07,1100.69,-2050,4554.14,1892.23,6181.91,False
s298,792.849,1090.6,-2478.95,4064.64,2797.21,9138.48,False
s299,0.0523,0.0189773,-0.00463184,0.109232,0.0382377,0.124923,False
s300,0.0397,0.0146777,-0.00433322,0.0837332,0.0512922,0.167572,False
s301,0.0799,0.0369167,-0.0308502,0.19065,0.0977792,0.319445,False
s302,0.8373,0.224021,0.165237,1.50936,0.298613,0.97557,False
s303,0.3742,0.128986,-0.0127586,0.761159,0.154856,0.505914,False
s304,0.0387,0.0140847,-0.0035541,0.0809541,0.0150019,0.0490113,False
s305,0.1313,0.0713131,-0.0826392,0.345239,0.0625074,0.204212,False
s306,0.2729,0.0618244,0.0874267,0.458373,0.0611406,0.199746,False
s307,0.044,0.0160121,-0.00403624,0.0920362,0.0216871,0.0708519,False
s308,0.1306,0.0269833,0.04965,0.21155,0.0300899,0.0983037,False
s309,0.2202,0.029652,0.131244,0.309156,0.0358614,0.117159,False
s310,0.1306,0.0269833,0.04965,0.21155,0.0300933,0.0983147,False
s311,0.305,0.0395854,0.186244,0.423756,0.0436529,0.142614,False
s312,0.098,0.0284659,0.0126022,0.183398,0.0298139,0.0974021,False
s313,0.11975,0.0484069,-0.0254707,0.264971,0.107903,0.352518,False
s314,0,0,0,0,0,0,True
s315,0,0,0,0,0,0,True
s316,0,0,0,0,0,0,True
s317,5.75935,0.797713,3.36621,8.15249,0.889408,2.9057,False
s318,0.15635,0.0715354,-0.0582563,0.370956,0.0713755,0.233184,False
s319,2.76775,0.917878,0.014117,5.52138,1.07451,3.51041,False
s320,8.59385,2.28246,1.74646,15.4412,1.79476,5.86347,False
s321,0.0395,0.014233,-0.00319888,0.0821989,0.0182298,0.0595566,False
s322,2.066,0.680662,0.024015,4.10798,0.925412,3.02332,False
s323,0,0,0,0,0,0,True
s324,5.53815,1.41351,1.29762,9.77868,1.45414,4.75068,False
s325,12.5603,7.78965,-10.8086,35.9293,7.27897,23.7804,False
s326,0,0,0,0,0,0,True
s327,0,0,0,0,0,0,True
s328,0,0,0,0,0,0,True
s329,0,0,0,0,0,0,True
s330,0,0,0,0,0,0,True
s331,0,0,0,0,0,0,True
s332,0.0851,0.0149743,0.0401772,0.130023,0.0289814,0.0946824,False
s333,1.9645,0.781108,-0.378823,4.30782,1.58219,5.16901,False
s334,5.951,0.749603,3.70219,8.19981,1.2492,4.08115,False
s335,0.1214,0.0630105,-0.0676315,0.310431,0.105975,0.346221,False
s336,2.535,0.898456,-0.160367,5.23037,2.15152,7.02901,False
s337,9.0885,1.26547,5.29208,12.8849,2.34246,7.65282,False
s338,1.95905,0.776512,-0.370485,4.28859,1.02048,3.3339,False
s339,2.40435,0.971918,-0.511405,5.32011,1.33842,4.37262,False
s340,9.6444,1.52307,5.07518,14.2136,1.98021,6.46936,False
s341,0.0485,0.0229803,-0.0204409,0.117441,30.4488,99.4764,False
s342,2.4065,0.786964,0.0456078,4.76739,1.25854,4.11163,False
s343,0,0,0,0,0,0,True
s344,6.1737,1.34042,2.15244,10.195,1.87853,6.13717,False
s345,23.4731,8.21568,-1.17394,48.1201,9.30308,30.3931,False
s346,5.5931,1.81374,0.151884,11.0343,6.25423,20.4326,False
s347,3.0638,1.03122,-0.0298673,6.15747,5.70108,18.6254,False
s348,0,0,0,0,0,0,True
s349,0.0225,0.00711648,0.00115056,0.0438494,0.0090146,0.0294507,False
s350,0.0238,0.00681996,0.00334012,0.0442599,0.00975703,0.0318762,False
s351,0.0189,0.00830256,-0.00600768,0.0438077,0.0131792,0.0430565,False
s352,0.0255,0.0131951,-0.0140854,0.0650854,0.0161128,0.0526407,False
s353,0.0218,0.00800604,-0.00221812,0.0458181,0.0101866,0.0332797,False
s354,0.0402,0.0149743,-0.00472278,0.0851228,0.0144588,0.0472369,False
s355,0.0445,0.00993342,0.0146997,0.0743003,0.0134438,0.0439209,False
s356,0.0283,0.0139364,-0.0135093,0.0701093,0.0183262,0.0598718,False
s357,1.2703,0.387996,0.106311,2.43429,0.445258,1.45466,False
s358,0.0009,0.00029652,1.044e-05,0.00178956,0.000394213,0.00128789,False
s359,0.0024,0.00044478,0.00106566,0.00373434,0.000463816,0.00151529,False
s360,0.0197,0.0081543,-0.0047629,0.0441629,0.00760153,0.0248342,False
s361,0.0007,0.00059304,-0.00107912,0.00247912,0.00442554,0.0144582,False
s362,39.9012,11.1453,6.46531,73.3371,13.7492,44.9186,False
s363,0.0125,0.00533736,-0.00351208,0.0285121,0.0137953,0.0450694,False
s364,308.566,129.943,-81.2623,698.394,148.446,484.972,False
s365,0,0,0,0,0,0,True
s366,0.0046,0.0014826,0.0001522,0.0090478,0.00225536,0.00736826,False
s367,0.0042,0.00133434,0.00019698,0.00820302,0.00204242,0.00667258,False
s368,0.0033,0.00118608,-0.00025824,0.00685824,0.00213556,0.00697688,False
s369,0.0028,0.00103782,-0.00031346,0.00591346,0.00165883,0.00541941,False
s370,0,0,0,0,0,0,True
s371,0,0,0,0,0,0,True
s372,0,0,0,0,0,0,True
s373,0,0,0,0,0,0,True
s374,0,0,0,0,0,0,True
s375,0,0,0,0,0,0,True
s376,0,0,0,0,0,0,True
s377,0.0016,0.00044478,0.00026566,0.00293434,0.000556968,0.00181961,False
s378,0.0016,0.00044478,0.00026566,0.00293434,0.000435299,0.00142212,False
s379,0,0,0,0,0,0,True
s380,0,0,0,0,0,0,True
s381,0,0,0,0,0,0,True
s382,0,0,0,0,0,0,True
s383,0.0006,0.00044478,-0.00073434,0.00193434,0.000484308,0.00158223,False
s384,0.3182,0.0985929,0.0224213,0.613979,0.139438,0.455543,False
s385,1.07155,0.363534,-0.0190506,2.16215,0.354275,1.15742,False
s386,0.0068,0.00281694,-0.00165082,0.0152508,0.00971772,0.0317478,False
s387,0.0069,0.00340998,-0.00332994,0.0171299,0.00526185,0.0171905,False
s388,0,0,0,0,0.000713914,0.00233236,True
s389,32.1653,13.0377,-6.94776,71.2784,14.6695,47.9251,False
s390,0.0003,0.00014826,-0.00014478,0.00074478,0.00222531,0.00727007,False
s391,0.9011,0.353304,-0.158811,1.96101,1.57474,5.14467,False
s392,0.0101,0.00281694,0.00164918,0.0185508,0.00398081,0.0130053,False
s393,0.005,0.0044478,-0.0083434,0.0183434,0.00325099,0.010621,False
s394,0.1379,0.0441815,0.00535556,0.270444,0.0321698,0.105099,False
s395,0,0,0,0,0,0,True
s396,0,0,0,0,0,0,True
s397,0,0,0,0,0,0,True
s398,0,0,0,0,0,0,True
s399,0,0,0,0,0,0,True
s400,0,0,0,0,0,0,True
s401,0,0,0,0,0,0,True
s402,0,0,0,0,0,0,True
s403,0,0,0,0,0,0,True
s404,0,0,0,0,0,0,True
s405,0,0,0,0,0,0,True
s406,0.0231,0.0136399,-0.0178198,0.0640198,0.00470537,0.0153725,False
s407,5.8442,2.5394,-1.77399,13.4624,1.27774,4.17437,False
s408,1.2474,0.339367,0.229299,2.2655,0.309947,1.0126,False
s409,4.99845,1.30743,1.07616,8.92074,1.85778,6.06938,False
s410,4.4114,2.18417,-2.1411,10.9639,1.97796,6.46199,False
s411,4.76115,2.3457,-2.27594,11.7982,2.34073,7.64718,False
s412,2.5605,0.40134,1.35648,3.76452,0.495942,1.62024,False
s413,25.3078,13.9953,-16.6781,67.2937,15.7084,51.3194,False
s414,20.395,13.48,-20.0451,60.835,14.9437,48.8209,False
s415,0,0,0,0,0,0,True
s416,6.1582,1.82478,0.683848,11.6326,2.08922,6.82549,False
s417,3.2383,0.951533,0.383702,6.0929,0.911068,2.97646,False
s418,7.0421,2.25162,0.287226,13.797,3.24801,10.6112,False
s419,298.28,442.23,-1028.41,1624.97,312.653,1021.44,False
s420,290.15,430.177,-1000.38,1580.68,342.688,1119.56,False
s421,1.6525,0.914319,-1.09046,4.39546,1.03455,3.37987,False
s422,3.9341,1.12752,0.551548,7.31665,1.54807,5.05755,False
s423,0,0,0,0,0,0,True
s424,71.389,26.3323,-7.60793,150.386,29.8325,97.4627,False
s425,2.7581,1.12648,-0.621338,6.13754,2.02473,6.61478,False
s426,4.7635,1.88305,-0.885651,10.4127,5.19141,16.9603,False
s427,1.126,0.614241,-0.716724,2.96872,0.617692,2.018,False
s428,3.9139,1.18148,0.369448,7.45835,1.34511,4.39447,False
s429,2.6201,1.15895,-0.856745,6.09695,2.79317,9.1253,False
