rate,n,x,feature,lcl,ucl,p0
0.4,50,749,f_miss_clq23,0.157532,0.565157,0.361345
0.58,50,799,f_miss_clq23,0.157532,0.565157,0.361345
0.2,50,849,f_miss_clq23,0.157532,0.565157,0.361345
0.24,50,899,f_miss_clq23,0.157532,0.565157,0.361345
0.3,50,949,f_miss_clq23,0.157532,0.565157,0.361345
0.44,50,999,f_miss_clq23,0.157532,0.565157,0.361345
0.8,50,1049,f_miss_clq23,0.157532,0.565157,0.361345
0.78,50,1099,f_miss_clq23,0.157532,0.565157,0.361345
0.64,50,1149,f_miss_clq23,0.157532,0.565157,0.361345
0.42,50,1199,f_miss_clq23,0.157532,0.565157,0.361345
0.62,50,1249,f_miss_clq23,0.157532,0.565157,0.361345
0.9,50,1299,f_miss_clq23,0.157532,0.565157,0.361345
0.88,50,1349,f_miss_clq23,0.157532,0.565157,0.361345
0.92,50,1399,f_miss_clq23,0.157532,0.565157,0.361345
0.98,50,1449,f_miss_clq23,0.157532,0.565157,0.361345
0.94,50,1499,f_miss_clq23,0.157532,0.565157,0.361345
0.94,50,1549,f_miss_clq23,0.157532,0.565157,0.361345
1,17,1566,f_miss_clq23,0.0118094,0.71088,0.361345
0.58,50,49,f_miss_block5,0.557995,0.928636,0.743316
0.5,50,99,f_miss_block5,0.557995,0.928636,0.743316
0.64,50,149,f_miss_block5,0.557995,0.928636,0.743316
0.6,50,199,f_miss_block5,0.557995,0.928636,0.743316
0.72,50,249,f_miss_block5,0.557995,0.928636,0.743316
0.8,50,299,f_miss_block5,0.557995,0.928636,0.743316
0.82,50,349,f_miss_block5,0.557995,0.928636,0.743316
0.74,50,399,f_miss_block5,0.557995,0.928636,0.743316
0.86,50,449,f_miss_block5,0.557995,0.928636,0.743316
0.92,50,499,f_miss_block5,0.557995,0.928636,0.743316
0.86,50,549,f_miss_block5,0.557995,0.928636,0.743316
0.9,50,599,f_miss_block5,0.557995,0.928636,0.743316
0.92,50,649,f_miss_block5,0.557995,0.928636,0.743316
0.92,50,699,f_miss_block5,0.557995,0.928636,0.743316
0.84,50,749,f_miss_block5,0.557995,0.928636,0.743316
0.84,50,799,f_miss_block5,0.557995,0.928636,0.743316
0.8,50,849,f_miss_block5,0.557995,0.928636,0.743316
0.8,50,899,f_miss_block5,0.557995,0.928636,0.743316
0.76,50,949,f_miss_block5,0.557995,0.928636,0.743316
0.66,50,999,f_miss_block5,0.557995,0.928636,0.743316
0.68,50,1049,f_miss_block5,0.557995,0.928636,0.743316
0.68,50,1099,f_miss_block5,0.557995,0.928636,0.743316
0.54,50,1149,f_miss_block5,0.557995,0.928636,0.743316
0.72,50,1199,f_miss_block5,0.557995,0.928636,0.743316
0.5,50,1249,f_miss_block5,0.557995,0.928636,0.743316
0.76,50,1299,f_miss_block5,0.557995,0.928636,0.743316
0.68,50,1349,f_miss_block5,0.557995,0.928636,0.743316
0.68,50,1399,f_miss_block5,0.557995,0.928636,0.743316
0.54,50,1449,f_miss_block5,0.557995,0.928636,0.743316
0.38,50,1499,f_miss_block5,0.557995,0.928636,0.743316
0.22,50,1549,f_miss_block5,0.557995,0.928636,0.743316
0.117647,17,1566,f_miss_block5,0.425494,1.06114,0.743316
